Lab_id,pedon,horizon,Mn_mgL,Fe_mgL,Ca_mgL,K_mgL,Na_mgL,Mg_mgL,P_mgL,S_mgL,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,P_mgKg,CEC_cmolKg
2,42_2_PFM,E1,NA,6.868,0.7665,1.043,0.411,NA,1.1780833333333334,0.6390833333333332,7.664999999999999,0.038248502994011974,4.11,0.017877337973031756,NA,NA,10.43,0.026675191815856775,11.780833333333334,0.0828010327829005
3,42_2_PFM,E2,NA,4.257,0.38749999999999996,NA,0.22,NA,0.7570833333333333,0.2920833333333333,3.8749999999999996,0.01933632734530938,2.2,0.009569377990430623,NA,NA,NA,NA,7.570833333333333,0.028905705335740002
4,42_3_PFM,Oa,5.62,4.346,8.215499999999999,17.857,1.87,5.39,3.2140833333333334,5.7980833333333335,82.15499999999999,0.4099550898203592,18.700000000000006,0.08133971291866032,53.9,0.4436213991769547,178.57,0.456700767263427,32.14083333333333,1.3916169691794011
5,42_3_PFM,Bhs1,1.208,10.504,0.9525,3.089,0.356,NA,2.2480833333333337,1.8620833333333333,9.525,0.047529940119760486,3.5599999999999996,0.015484993475424097,NA,NA,30.89,0.07900255754475703,22.480833333333337,0.1420174911399416
6,42_3_PFM,Bhs2,4.031,2.672,0.8365,1.376,0.346,NA,1.5200833333333332,2.0090833333333333,8.365,0.041741516966067864,3.46,0.015050021748586342,NA,NA,13.759999999999998,0.035191815856777484,15.200833333333332,0.0919833545714317
7,42_3_PFM,Bhs3,1.587,3.073,0.9225,1.511,0.508,NA,1.6230833333333332,2.4130833333333337,9.225000000000001,0.046032934131736536,5.08,0.022096563723357984,NA,NA,15.11,0.03864450127877238,16.230833333333333,0.1067739991338669
8,42_3_PFM,BC,1.839,4.669,1.1045,2.099,0.506,NA,1.8330833333333334,2.5880833333333335,11.045000000000002,0.05511477045908185,5.0600000000000005,0.022009569377990434,NA,NA,20.990000000000002,0.053682864450127876,18.330833333333334,0.13080720428720016
9,42_4_PFM,Oa,6.675,2.226,52.4525,23.695,1.149,16.163,6.112083333333333,6.305083333333333,524.525,2.6173902195608783,11.49,0.049978251413658116,161.63,1.3302880658436214,236.95,0.606010230179028,61.12083333333332,4.603666766997185
10,42_4_PFM,E,NA,2.564,2.9745,4.82,0.706,NA,0.8200833333333333,1.0650833333333332,29.744999999999997,0.14842814371257484,7.06,0.030709003914745542,NA,NA,48.20000000000001,0.12327365728900257,8.200833333333332,0.30241080491632294
11,42_4_PFM,Bhs1,NA,NA,-0.008499999999999994,NA,0.114,NA,0.008083333333333331,0.008083333333333331,-0.08499999999999994,-4.241516966067861e-4,1.1400000000000001,0.004958677685950414,NA,NA,NA,NA,0.08083333333333331,0.004534525989343628
