...1,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,CEC_cmolKg
0,QC Forest Reference Soil,Bs,NA,6/3/21 10:17,NA,HB Mod Morgan 6-3-21,Soil Modified Morgan,6.26297764,5.190336229,0.459508192,2.142986247,1.583526888,0.869947319,25.31382014,14.0938176,0.20742219,UVM,25.95168114,0.129499407,4.349736593,0.018920124,7.91763444,0.065165716,10.71493124,0.027403916,126.5691007,1.407365834,2.297540958,0.240989163
1,QC Forest Reference Soil,Oa,NA,6/3/21 10:27,NA,HB Mod Morgan 6-3-21,Soil Modified Morgan,6.088099939,18.78602716,3.821208874,30.87927207,9.247049367,1.951657318,39.45629278,5.962399736,0.811775939,UVM,93.93013582,0.468713253,9.758286592,0.042445788,46.23524683,0.380537011,154.3963604,0.394875602,197.2814639,2.193641185,19.10604437,1.286571653
2,42_4_V4.1,Oa,NA,6/3/21 10:30,NA,HB Mod Morgan 6-3-21,Soil Modified Morgan,5.894156404,68.17173456,10.45555767,31.6724105,14.51883312,2.823971473,2.357548322,0.84451393,6.066297279,UVM,340.8586728,1.700891581,14.11985736,0.061417387,72.5941656,0.597482844,158.3620525,0.405018037,11.78774161,0.131071997,52.27778834,2.76480985
3,42_4_V4.1,E,NA,6/3/21 10:34,NA,HB Mod Morgan 6-3-21,Soil Modified Morgan,6.055266638,5.927722258,0.17487157,3.831882805,1.370996144,1.110996451,4.394707068,0.928632023,0.094302247,UVM,29.63861129,0.147897262,5.554982257,0.024162602,6.854980719,0.056419594,19.15941403,0.049001059,21.97353534,0.244331379,0.87435785,0.277480517
4,42_4_V4.1,Bhs1,NA,6/3/21 10:37,NA,HB Mod Morgan 6-3-21,Soil Modified Morgan,6.365069791,6.353597217,0.30638015,4.592024903,1.824772848,1.048798274,19.46249003,7.877619548,0.101789005,UVM,31.76798609,0.158522885,5.243991372,0.02280988,9.123864238,0.075093533,22.96012451,0.058721546,97.31245013,1.082050965,1.531900751,0.315147843
5,42_4_V4.1,Bhs2.1,NA,6/3/21 10:41,NA,HB Mod Morgan 6-3-21,Soil Modified Morgan,5.367772021,6.73322165,0.747654759,6.432100454,2.633516776,1.446937876,49.1253251,19.76880769,0.444203414,UVM,33.66610825,0.167994552,7.234689378,0.031468853,13.16758388,0.108375176,32.16050227,0.082251924,245.6266255,2.731207845,3.738273797,0.390090505
6,42_4_V4.1,Bhs2.2,NA,6/3/21 10:48,NA,HB Mod Morgan 6-3-21,Soil Modified Morgan,6.162965642,5.723210079,0.33118504,4.840027028,1.830333117,1.084464927,42.5706193,13.33351882,0.553430686,UVM,28.61605039,0.142794663,5.422324637,0.023585579,9.151665585,0.07532235,24.20013514,0.061892929,212.8530965,2.366787582,1.6559252,0.303595521
7,42_4_V4.1,C.2,NA,6/3/21 14:32,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.819721009,3.621899257,0.032807455,2.309480149,0.795090751,1.001503453,18.78815523,0.603411452,0.072604661,UVM,18.10949629,0.090366748,5.007517264,0.021781284,3.975453753,0.032719784,11.54740075,0.029532994,93.94077617,1.04456015,0.164037275,0.17440081
8,86_3_W3.2,Bhs1,NA,6/3/21 14:36,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.851621509,9.163877075,1.118675796,10.91278783,4.557586463,1.620725888,66.07427132,40.20220241,0.26987351,UVM,45.81938538,0.228639648,8.103629442,0.035248497,22.78793231,0.187554998,54.56393917,0.139549717,330.3713566,3.673513973,5.593378981,0.59099286
9,86_3_W3.2,Bhs1,NA,6/3/21 14:39,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,5.039708097,8.966547413,1.04589765,11.12807789,4.421246061,1.787237683,61.57411953,36.59124219,0.253082836,UVM,44.83273707,0.223716253,8.936188417,0.038869893,22.1062303,0.181944282,55.64038943,0.142302786,307.8705977,3.423320211,5.229488248,0.586833215
10,QC Forest Reference Soil,Bs,NA,6/3/21 14:43,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.950839765,5.65151235,0.698217595,2.317068255,1.706543036,1.063259388,23.33218882,13.13959821,0.266881694,UVM,28.25756175,0.141005797,5.316296942,0.023124389,8.532715181,0.070228108,11.58534128,0.029630029,116.6609441,1.297193596,3.491087974,0.263988323
11,QC Forest Reference Soil,Oa,NA,6/3/21 14:46,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.608812364,19.20722741,4.036007734,30.85498175,9.294196476,2.286873182,39.3749438,5.756289043,0.785727071,UVM,96.03613707,0.479222241,11.43436591,0.049736259,46.47098238,0.382477221,154.2749088,0.394564984,196.874719,2.189118447,20.18003867,1.306000705
