...1,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,CEC_cmolKg
0,42_2_PFM,E1,NA,5/27/21 15:21,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.051909116,0.605215933,0.962839013,1.601420349,0.619219885,0.300111667,17.61512869,6.513239027,0.417188122,VT,6.052159331,0.030200396,3.001116669,0.013054009,6.192198847,0.0509646,16.01420349,0.040957042,176.1512869,1.9586874,9.628390129,0.135176047
1,42_2_PFM,E2,NA,5/27/21 15:24,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.081350064,0.248989327,0.583350632,0.584754846,0.226110705,0.072827035,6.598172755,4.072676185,0.13399452,VT,2.489893267,0.012424617,0.728270346,0.00316777,2.261107051,0.018609935,5.847548457,0.014955367,65.98172755,0.733673768,5.833506318,0.049157689
2,42_3_PFM,Oa,NA,5/27/21 15:28,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.99254096,7.330824438,2.793039627,18.61079707,4.495823132,1.620546512,23.31581682,3.963440028,5.690391207,VT,73.30824438,0.365809603,16.20546512,0.070489191,44.95823132,0.370026595,186.1079707,0.475979465,233.1581682,2.592566733,27.93039627,1.282304854
3,42_3_PFM,Bhs1,NA,5/27/21 15:38,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.772197301,0.795749055,1.953089408,3.837671999,0.979397111,0.248602701,28.75888293,10.46324473,1.875274613,VT,7.957490548,0.039708037,2.486027011,0.010813515,9.793971115,0.080608816,38.37671999,0.098150179,287.5888293,3.197800178,19.53089408,0.229280546
4,42_3_PFM,Bhs2,NA,5/27/21 15:41,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.946865796,0.664508195,1.272079846,2.077484507,0.523373682,0.205741319,37.14876011,3.054302719,4.33973811,VT,6.645081951,0.033159092,2.057413193,0.008949166,5.233736824,0.043076023,20.77484507,0.053132596,371.4876011,4.13069979,12.72079846,0.138316877
5,42_3_PFM,Bhs3,NA,5/27/21 16:15,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.983954473,1.161474266,1.397571941,2.574921312,0.550091163,0.414595156,39.82118227,3.148601462,2.105985379,VT,11.61474266,0.057957798,4.145951562,0.018033717,5.500911627,0.045274993,25.74921312,0.065854765,398.2118227,4.427855701,13.97571941,0.187121273
6,42_3_PFM,BC,NA,5/27/21 16:25,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.987094247,1.341695117,1.649395283,3.048161908,0.665895798,0.375223361,41.1632625,4.847844443,2.405153536,VT,13.41695117,0.066950854,3.752233615,0.016321155,6.658957981,0.054806239,30.48161908,0.077958105,411.632625,4.577086267,16.49395283,0.216036353
22,42_4_PFM,Oa,NA,5/27/21 16:28,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.900707294,49.75252291,5.761761947,23.07647864,10.17323031,1.014010269,5.441334632,2.268346286,6.487529395,VT,497.5252291,2.482660824,10.14010269,0.04410658,101.7323031,0.837302906,230.7647864,0.59019127,54.41334632,0.605040915,57.61761947,3.954261579
23,42_4_PFM,E,NA,5/27/21 16:32,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.054796507,3.026891066,0.64053739,4.568284525,1.096639454,0.421918199,4.346411192,1.775865591,0.24540072,VT,30.26891066,0.151042468,4.219181991,0.018352249,10.96639454,0.090258391,45.68284525,0.116835921,43.46411192,0.483292571,6.405373903,0.37648903
24,42_4_PFM,Bhs1,NA,5/27/21 16:35,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.905972324,2.529602901,1.500033574,8.277364263,2.529041519,1.014965923,26.52377159,55.42442315,0.359045881,VT,25.29602901,0.12622769,10.14965923,0.044148148,25.29041519,0.208151565,82.77364263,0.211697296,265.2377159,2.949270377,15.00033574,0.590224699
