ID,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
2,42_2_PFM,E1,NA,5/27/21 15:21,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.051909116,0.521447566,1.155991138,1.036108516,0.486516438,0.359662361,16.35287842,6.510651093,0.420781525,VT,2.607237831,0.013010169,1.798311805,0.007822148,2.432582188,0.020021253,5.180542581,0.01324947,81.7643921,0.909166702,5.779955691,32.55325546,2.103907626,0.054103039
3,42_2_PFM,E2,NA,5/27/21 15:24,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.081350064,0.16522096,0.776502757,0.019443013,0.093407258,0.132377729,5.335922489,4.070088251,0.137587923,VT,0.826104799,0.004122279,0.661888643,0.002879028,0.46703629,0.00384392,0.097215064,2.49E-04,26.67961244,0.296659886,3.882513786,20.35044126,0.687939614,0.01109386
4,42_3_PFM,Oa,NA,5/27/21 15:28,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.99254096,7.247056071,2.986191752,18.04548524,4.363119685,1.680097206,22.05356655,3.960852094,5.69398461,VT,36.23528036,0.180814772,8.400486031,0.036539739,21.81559842,0.17955225,90.22742618,0.230760681,110.2678328,1.226106369,14.93095876,19.80426047,28.46992305,0.627667443
5,42_3_PFM,Bhs1,NA,5/27/21 15:38,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.772197301,0.711980688,2.146241533,3.272360166,0.846693664,0.308153395,27.49663267,10.4606568,1.878868016,VT,3.55990344,0.017763989,1.540766976,0.006701901,4.233468322,0.034843361,16.36180083,0.041846038,137.4831633,1.528723091,10.73120767,52.30328398,9.394340079,0.101155289
6,42_3_PFM,Bhs2,NA,5/27/21 15:41,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.946865796,0.580739828,1.465231971,1.512172674,0.390670235,0.265292013,35.88650984,3.051714785,4.343331513,VT,2.903699141,0.014489517,1.326460067,0.005769726,1.953351176,0.016076964,7.560863372,0.019337246,179.4325492,1.995172897,7.326159855,15.25857392,21.71665757,0.055673454
7,42_3_PFM,Bhs3,NA,5/27/21 16:15,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.983954473,1.077705899,1.590724066,2.009609479,0.417387716,0.47414585,38.558932,3.146013528,2.109578782,VT,5.388529493,0.02688887,2.370729251,0.010312002,2.086938578,0.017176449,10.0480474,0.025698331,192.79466,2.143750853,7.95362033,15.73006764,10.54789391,0.080075652
8,42_3_PFM,BC,NA,5/27/21 16:25,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.987094247,1.25792675,1.842547409,2.482850075,0.533192351,0.434774055,39.90101223,4.845256509,2.408746939,VT,6.289633751,0.031385398,2.173870277,0.009455721,2.665961755,0.021942072,12.41425038,0.031750001,199.5050612,2.218366136,9.212737043,24.22628254,12.04373469,0.094533192
9,42_4_PFM,Oa,NA,5/27/21 16:28,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.900707294,49.66875454,5.954914073,22.51116681,10.04052686,1.073560963,4.179084366,2.265758352,6.491122798,VT,248.3437727,1.239240383,5.367804815,0.023348433,50.2026343,0.413190406,112.555834,0.287866583,20.89542183,0.23234346,29.77457036,11.32879176,32.45561399,1.963645805
10,42_4_PFM,E,NA,5/27/21 16:32,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.054796507,2.943122699,0.833689516,4.002972692,0.963936007,0.481468893,3.084160926,1.773277657,0.248994124,VT,14.7156135,0.073431205,2.407344466,0.010471268,4.819680037,0.039668148,20.01486346,0.051188909,15.42080463,0.171469288,4.168447578,8.866388283,1.244970618,0.17475953
11,42_4_PFM,Bhs1,NA,5/27/21 16:39,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.905972324,2.445834534,1.693185699,7.71205243,2.396338072,1.074516617,25.26152133,55.42183521,0.362639284,VT,12.22917267,0.061023816,5.372583087,0.023369217,11.98169036,0.098614735,38.56026215,0.098619596,126.3076066,1.404458191,8.465928495,277.1091761,1.813196422,0.281627365
13,42_4_PFM,Bhs2,NA,5/27/21 16:46,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.983409427,1.598047723,0.852743185,4.717441093,0.926395684,0.423817724,45.31889036,14.75718427,0.342574966,VT,7.990238616,0.03987145,2.119088619,0.009217436,4.63197842,0.038123279,23.58720546,0.060325334,226.5944518,2.519582489,4.263715926,73.78592137,1.712874828,0.147537499
14,42_4_PFM,Bh,NA,5/27/21 16:50,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.088001778,0.942364526,0.418254179,1.53827496,0.209117934,0.289740319,30.63566528,1.597985293,0.171546529,VT,4.711822631,0.023512089,1.448701597,0.006301442,1.045589672,0.008605676,7.691374798,0.019671035,153.1783264,1.703243066,2.091270894,7.989926467,0.857732646,0.058090243
15,42_4_PFM,BC,NA,5/27/21 16:53,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.968702254,0.758324564,0.351669372,1.012917655,0.114950347,0.222669862,21.75286484,0.8506573,0.090543698,VT,3.791622822,0.018920274,1.113349311,0.004842755,0.574751737,0.004730467,5.064588275,0.012952911,108.7643242,1.209388334,1.758346862,4.253286498,0.452718489,0.041446406
16,42_5_V5.1,Bhs,NA,5/27/21 16:57,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.959080395,2.65052415,1.582307581,5.206048919,1.191547394,0.750899377,78.75907379,1.174758898,2.832091975,VT,13.25262075,0.066130842,3.754496883,0.016331,5.957736971,0.049034872,26.03024459,0.066573516,393.795369,4.378747616,7.911537904,5.873794492,14.16045988,0.19807023
17,42_5_V5.1,Bh1,NA,5/27/21 17:01,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.962516291,1.949285799,0.603867319,2.217455487,0.379366419,0.533549322,47.85992629,1.214552964,0.977505211,VT,9.746428994,0.048634875,2.667746612,0.011603944,1.896832094,0.015611787,11.08727743,0.028356208,239.2996315,2.660855798,3.019336597,6.072764819,4.887526057,0.104206814
18,42_5_V5.1,Bh2,NA,5/27/21 17:05,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.961952469,1.534492179,0.434449676,1.74864886,0.242189061,0.421139414,36.97706863,1.316790838,0.502334785,VT,7.672460895,0.038285733,2.105697071,0.009159187,1.210945303,0.009966628,8.743244298,0.022361239,184.8853431,2.055804408,2.172248379,6.583954191,2.511673923,0.079772787
19,52_2_PFM,E,NA,5/27/21 17:08,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.090259842,2.225162274,1.47093702,4.07741174,1.232421637,0.453831638,14.78735981,7.471791892,0.882322578,VT,11.12581137,0.055518021,2.269158191,0.009870197,6.162108184,0.05071694,20.3870587,0.052140815,73.93679903,0.822128974,7.354685098,37.35895946,4.411612888,0.168245972
