"","Lab_id","pedon","horizon","Mn_mgL","Fe_mgL","Ca_mgL","K_mgL","Na_mgL","Mg_mgL","P_mgL","S_mgL","Ca_mgKg","Na_mgKg","Mg_mgKg","K_mgKg","P_mgKg"
"1","Blank",NA,NA,-99.99,-99.99,0.094,-99.99,-99.99,-99.99,0.335,0.41,0.94,-999.9,-999.9,-999.9,3.35
"2","2","42_2_PFM","E1",-99.99,6.868,0.86,1.043,0.411,-99.99,1.485,0.974,8.6,4.11,-999.9,10.43,14.85
"3","3","42_2_PFM","E2",-99.99,4.257,0.481,-99.99,0.22,-99.99,1.064,0.627,4.81,2.2,-999.9,-999.9,10.64
"4","4","42_3_PFM","Oa",5.62,4.346,8.309,17.857,1.87,5.39,3.521,6.133,83.09,18.7,53.9,178.57,35.21
"5","5","42_3_PFM","Bhs1",1.208,10.504,1.046,3.089,0.356,-99.99,2.555,2.197,10.46,3.56,-999.9,30.89,25.55
"6","6","42_3_PFM","Bhs2",4.031,2.672,0.93,1.376,0.346,-99.99,1.827,2.344,9.3,3.46,-999.9,13.76,18.27
"7","7","42_3_PFM","Bhs3",1.587,3.073,1.016,1.511,0.508,-99.99,1.93,2.748,10.16,5.08,-999.9,15.11,19.3
"8","8","42_3_PFM","BC",1.839,4.669,1.198,2.099,0.506,-99.99,2.14,2.923,11.98,5.06,-999.9,20.99,21.4
"9","9","42_4_PFM","Oa",6.675,2.226,52.546,23.695,1.149,16.163,6.419,6.64,525.46,11.49,161.63,236.95,64.19
"10","10","42_4_PFM","E",-99.99,2.564,3.068,4.82,0.706,-99.99,1.127,1.4,30.68,7.06,-999.9,48.2,11.27
"11","11","42_4_PFM","Bhs1",-99.99,-99.99,0.085,-99.99,0.114,-99.99,0.315,0.343,0.85,1.14,-999.9,-999.9,3.15
"12","Blank",NA,NA,-99.99,59.514,2.442,7.561,1.069,1.308,2.076,3.646,24.42,10.69,13.08,75.61,20.76
"13","13","42_4_PFM","Bhs2",-99.99,15.175,1.581,4.519,0.395,-99.99,1.116,2.512,15.81,3.95,-999.9,45.19,11.16
"14","14","42_4_PFM","Bh",-99.99,1.367,0.841,1.055,0.29,-99.99,0.626,1.613,8.41,2.9,-999.9,10.55,6.26
"15","15","42_4_PFM","BC",-99.99,0.556,0.598,0.423,0.191,-99.99,0.535,1.24,5.98,1.91,-999.9,4.23,5.35
"16","16","42_5_V5.1","Bhs",2.33,0.948,2.689,4.867,0.737,-99.99,1.973,4.761,26.89,7.37,-999.9,48.67,19.73
"17","17","42_5_V5.1","Bh1",0.281,0.879,1.947,1.667,0.491,-99.99,0.818,3.283,19.47,4.91,-999.9,16.67,8.18
"18","18","42_5_V5.1","Bh2",-99.99,1.116,1.48,1.275,0.39,-99.99,0.64,2.578,14.8,3.9,-999.9,12.75,6.4
"19","19","52_2_PFM","E",0.241,8.025,2.326,3.953,0.474,-99.99,1.81,1.797,23.26,4.74,-999.9,39.53,18.1
"20","20","52_3_PFM","Oa",0.483,5.446,4.968,22.235,3.817,7.165,4.399,8.344,49.68,38.17,71.65,222.35,43.99
"21","Blank",NA,NA,-99.99,-99.99,0.096,-99.99,0.138,-99.99,0.326,0.358,0.96,1.38,-999.9,-999.9,3.26
"22","22","52_3_PFM","Bhs1",-99.99,6.951,2.339,6.043,0.859,1.128,2.094,2.904,23.39,8.59,11.28,60.43,20.94
