pedon.x,orig_horizon,subdivision,horizon.x,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental,name,type,CN_id,pedon.y,horizon.y,N_pct,C_pct,CNRatio,CN_type,om_pct,om,bd
42_2_PFM,Oa,NA,Oa,6,8,2,7.5YR3/1,7.5YR,3,1,0,NA,NA,NA,NA,2mgr,NA,cs,0,m,Y,NA,42_2_PFM_Oa,sample,42.2_Oa,42_2_PFM,Oa,1.302304,26.43682,20.30004,Min.Soil,45.57707768,0.4557707768,0.22314587093394037
42_2_PFM,E1,NA,E1,8,32,24,5YR5/1,5YR,5,1,5YR4/2,NA,NA,NA,sl,2msbk,fr,cs,2,c,Y,Y,42_2_PFM_E1,sample,42.2_E1,42_2_PFM,E1,0.985384,5.499409,5.580979,Min.Soil,9.480981116,0.09480981116000001,0.6764016472189835
42_2_PFM,E2,NA,E2,32,47,15,7.5YR4/2,7.5YR,4,2,7.5YR3/2,NA,NA,NA,ls,2msbk,fr,NA,15,f,Y,Y,42_2_PFM_E2,sample,42.2_E2,42_2_PFM,E2,0.029635,0.644979,21.76427,Min.Soil,1.111943796,0.01111943796,1.278507993417372
42_2_V2.1,Oa,NA,Oa,6,8,2,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,as,NA,NA,Y,Y,42_2_V2.1_Oa,sample,V2.1_Oa,42_2_V2.1,Oa,0.439073,10.15645,23.13158,Min.Soil,17.5097198,0.17509719799999998,0.46590708193226676
42_2_V2.1,E,1,E.1,8,14,6,7.5YR6/1,7.5YR,6,1,0,NA,NA,NA,sl,2msbk,fr,as,10,f,Y,Y,42_2_V2.1_E.1,sample,V2.1_E1,42_2_V2.1,E.1,0.077011,1.150074,14.93396,Min.Soil,1.982727576,0.01982727576,1.170130826196113
42_2_V2.1,E,2,E.2,14,20,6,7.5YR6/1,7.5YR,6,1,0,NA,NA,NA,sl,2msbk,fr,as,10,f,Y,Y,42_2_V2.1_E.2,sample,V2.1_E2,42_2_V2.1,E.2,0.076609,0.93580700000000006,12.2154,Min.Soil,1.613331268,0.01613331268,1.2137779687980057
42_2_V2.1,E,3,E.3,20,28,8,7.5YR6/1,7.5YR,6,1,0,NA,NA,NA,sl,2msbk,fr,as,10,f,Y,Y,42_2_V2.1_E.3,sample,V2.1_E3,42_2_V2.1,E.3,0.046856,0.690337,14.73308,Min.Soil,1.190140988,0.01190140988,1.2679619290978044
42_2_V2.1,E,4,E.4,28,32,4,7.5YR6/1,7.5YR,6,1,0,NA,NA,NA,sl,2msbk,fr,as,10,f,Y,Y,42_2_V2.1_E.4,sample,V2.1_E4,42_2_V2.1,E.4,0.042377,0.504456,11.904,Min.Soil,0.869682144,0.00869682144,1.3123237178709302
42_3_PFM,Oa,NA,Oa,5.5,8.5,3,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,1mgr,vfr,as,1,f,Y,Y,42_3_PFM_Oa,sample,42.3_Oa,42_3_PFM,Oa,1.001189,16.8993,16.87924,Min.Soil,29.1343932,0.29134393200000003,0.32118726942319
42_3_PFM,Bhs1,NA,Bhs1,8.5,30.5,22,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,cs,2,0,Y,Y,42_3_PFM_Bhs1,sample,42.3_Bhs1,42_3_PFM,Bhs1,0.289994,5.690605,19.623169999999998,Min.Soil,9.810603019999999,0.09810603019999999,0.6640838448591544
42_3_PFM,Bhs2,NA,Bhs2,30.5,41.5,11,10YR2/2,10YR,2,2,0,NA,NA,NA,sl,2msbk,fr,as,2,0,Y,Y,42_3_PFM_Bhs2,sample,42.3_Bhs2,42_3_PFM,Bhs2,0.221183,4.558861,20.61129,Min.Soil,7.859476364000001,0.07859476364000001,0.7443174225727702
42_3_PFM,Bhs3,NA,Bhs3,41.5,60,18.5,7.5YR3/3,7.5YR,3,3,7.5YR2.5/2,NA,NA,NA,sl,2msbk,fr,cs,2,0,Y,Y,42_3_PFM_Bhs3,sample,42.3_Bhs3,42_3_PFM,Bhs3,0.234412,5.076976,21.65831,Min.Soil,8.752706624,0.08752706624,0.7053062554344165
42_3_PFM,BC,NA,BC,60,71,11,10YR3/4,10YR,3,4,0,NA,NA,NA,sl,2msbk,fr,NA,5,0,Y,NA,42_3_PFM_BC,sample,42.3_BC,42_3_PFM,BC,0.26178,6.088694,23.25886,Min.Soil,10.496908456,0.10496908456,0.6398238677411363
42_3_V3.1,Oa,NA,Oa,9,13,4,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,c,Y,Y,42_3_V3.1_Oa,sample,V3.1_Oa,42_3_V3.1,Oa,1.347829,24.68433,18.31415,Min.Soil,42.55578492,0.4255578492,0.23640541791773473
42_3_V3.1,Bhs1,NA,Bhs1,13,21,8,5YR3/2,5YR,3,2,0,NA,NA,NA,sl,1mgr,fr,cs,2,c,Y,Y,42_3_V3.1_Bhs1,sample,V3.1_Bhs1,42_3_V3.1,Bhs1,0.311452,4.876843,15.6584,Min.Soil,8.407677332,0.08407677332,0.7198804196891284
42_3_V3.1,Bhs2,1,Bhs2.1,21,28,7,7.5YR2.5/3,7.5YR,2.5,3,0,NA,NA,NA,sl,2msbk,fr,gw,5,c,Y,Y,42_3_V3.1_Bhs2.1,sample,V3.1_Bhs2.1,42_3_V3.1,Bhs2.1,0.22659,3.827281,16.89078,Min.Soil,6.598232444,0.06598232444,0.8073726190570751
