hid,mean_CaCl2_P,mean_M3_P,mean_MM_P,mean_MM_Ca,mean_MM_K,mean_MM_Mg,mean_MM_Na,mean_MM_Fe,mean_MM_Al,mean_MM_Mn,MM_solution,MM_soil,MM_Ca_mgkg,MM_Ca_cmolkg,MM_Na_mgkg,MM_Na_cmolkg,MM_Mg_mgkg,MM_Mg_cmolkg,MM_K_mgKg,MM_K_cmolkg,MM_Al_mgkg,MM_Al_cmolkg,MM_P_mgkg,M3_P_mgkg,CaCl2_P_mgkg,MM_Fe_mgKg,MM_Mn_mgKg,CEC_cmolkg
BR2.1A,1.7098491779396152,3.664244710169346,2.293858419894608,54.53513664625522,27.03619019411796,2.293858419894608,2.604779754870772,3.7921534003220225,8.381054457772073,0.9077615896309993,20,4,272.67568323127614,1.3606571019524758,13.02389877435386,0.05665027740040827,11.469292099473043,0.0943974658392843,135.1809509705898,0.3457313324056005,41.90527228886037,0.46595929157368826,11.469292099473043,36.64244710169346,17.098491779396152,18.96076700161011,4.5388079481549966,1.8574361775977688
BR2.1Bhs,0.0818198999368708,5.794678234290685,1.9835591161180504,10.83220516790604,2.653908585361446,1.9835591161180504,1.1839911486345434,44.68810829094249,27.427016548442403,0.20967502310236347,20,4,54.1610258395302,0.2702645999976557,5.919955743172717,0.025750133724109253,9.917795580590251,0.08162794716535185,13.26954292680723,0.03393744994068345,137.135082742212,1.524852662070556,9.917795580590251,57.94678234290685,0.818198999368708,223.44054145471245,1.0483751155118173,0.4115801308278002
BR2.1CB,0.06570520281763509,7.912024277809675,1.2874430149074003,9.3313650393689,2.0808059248619597,1.2874430149074003,1.0881176875107914,13.858775413860116,18.657660871935136,0.2793692431390288,20,4,46.6568251968445,0.2328184890062101,5.440588437553958,0.02366502147696372,6.4372150745370025,0.05298119402911113,10.404029624309798,0.026608771417672115,93.28830435967568,1.037305089247691,6.4372150745370025,79.12024277809677,0.6570520281763509,69.29387706930058,1.396846215695144,0.33607347592995707
BR2.1C,0.04386220686387558,7.958351975697511,0.8736710185729666,12.425359966255632,2.483159252361622,0.8736710185729666,1.3232687161734822,4.527890047725146,12.9384886162024,0.539358961893025,20,4,62.12679983127816,0.3100139712139629,6.616343580867411,0.02877922392721797,4.368355092864834,0.03595353985896983,12.41579626180811,0.03175395463378033,64.692443081012,0.7193377659119199,4.368355092864834,79.58351975697511,0.43862206863875586,22.639450238625727,2.696794809465125,0.40650068963393104
BR2.1E.1,0.11645090202299443,1.958629205194248,0.5091783329123657,10.541606810797102,2.1697178029379653,0.5091783329123657,1.6584415345089936,4.326862779728435,7.027733648814866,0.15382817272678445,20,4,52.70803405398552,0.2630141419859557,8.292207672544968,0.03606875890624171,2.5458916645618284,0.02095384086059118,10.848589014689827,0.027745751955728454,35.13866824407434,0.3907190686887435,2.5458916645618284,19.58629205194248,1.1645090202299444,21.634313898642176,0.7691408636339224,0.34778249370851705
BR2.1E.2,0.07010265403709409,6.091945984941676,0.9051627690723514,9.818615431802561,2.2864732744640976,0.9051627690723514,1.679596292605163,14.85885135027324,10.614368831964828,0.18226222012758114,20,4,49.09307715901281,0.24497543492521362,8.397981463025815,0.036528844989237995,4.525813845361757,0.03724949666964409,11.432366372320487,0.029238788676011474,53.07184415982414,0.5901242864324403,4.525813845361757,60.919459849416754,0.7010265403709409,74.29425675136619,0.9113111006379058,0.3479925652601072
BR2.1Oa,6.789292830474789,9.404666248874182,8.384529981488683,138.78177449022309,47.68322856999471,8.384529981488683,2.780349434217287,0.4980030199525314,3.1952652482827517,5.116766019000755,20,4,693.9088724511156,3.4626191240075626,13.901747171086436,0.0604686697306935,41.92264990744342,0.34504238606949317,238.41614284997354,0.6097599561380397,15.97632624141376,0.17764632588673562,41.92264990744342,94.04666248874182,67.8929283047479,2.490015099762657,25.583830095003776,4.477890135945789
BR3.1A,0.8976397353210532,2.9327158264219104,2.7727322001076375,35.864762300723356,18.08033551663943,2.7727322001076375,1.688285794036477,4.754501800117638,3.3985260333894973,2.1547757782554484,20,4,179.32381150361678,0.8948293987206426,8.441428970182386,0.03671782936138489,13.863661000538187,0.11410420576574638,90.40167758319714,0.23120633652991596,16.992630166947485,0.18894696256798535,13.863661000538187,29.327158264219104,8.976397353210533,23.77250900058819,10.773878891277242,1.2768577703776898
BR3.1Bhs1,0.1634520835800527,0.555216107186717,1.4826827154253799,9.617096544022697,5.098901434491509,1.4826827154253799,1.4729345700477299,64.35584621365986,16.803865691841665,0.3147659493395102,20,4,48.08548272011349,0.2399475185634406,7.364672850238651,0.03203424467263441,7.4134135771269,0.061015749605982716,25.49450717245755,0.06520334315206534,84.01932845920832,0.934240123712472,7.4134135771269,5.55216107186717,1.634520835800527,321.7792310682993,1.5738297466975508,0.3982008559941231
BR3.1Bhs2,0.07712567247185426,0.229234417816813,0.8864494426828605,8.559005582675837,3.1631133855653664,0.8864494426828605,1.1573796036586503,29.0564206173028,26.339744552084138,0.33933608456649766,20,4,42.79502791337919,0.21354804347993608,5.786898018293252,0.025171370240510017,4.432247213414303,0.036479400933451055,15.815566927826833,0.04044902027577195,131.69872276042068,1.4644038854012675,4.432247213414303,2.29234417816813,0.7712567247185426,145.28210308651398,1.6966804228324883,0.3156478349296691
