ID,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
2,42_2_PFM,E1,NA,5/27/21 15:21,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.051909116,0.521447566,1.155991138,1.601420349,0.486516438,0.359662361,16.35287842,6.510651093,0.420781525,VT,5.214475662,0.026020338,3.59662361,0.015644296,4.865164375,0.040042505,16.01420349,0.040957042,163.5287842,1.818333405,11.55991138,65.10651093,4.207815252,0.122664181
3,42_2_PFM,E2,NA,5/27/21 15:24,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.081350064,0.16522096,0.776502757,0.584754846,0.093407258,0.132377729,5.335922489,4.070088251,0.137587923,VT,1.652209598,0.008244559,1.323777287,0.005758057,0.934072579,0.00768784,5.847548457,0.014955367,53.35922489,0.593319773,7.765027572,40.70088251,1.375879228,0.036645823
4,42_3_PFM,Oa,NA,5/27/21 15:28,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.99254096,7.247056071,2.986191752,18.61079707,4.363119685,1.680097206,22.05356655,3.960852094,5.69398461,VT,72.47056071,0.361629544,16.80097206,0.073079478,43.63119685,0.359104501,186.1079707,0.475979465,220.5356655,2.452212737,29.86191752,39.60852094,56.9398461,1.269792988
5,42_3_PFM,Bhs1,NA,5/27/21 15:38,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.772197301,0.711980688,2.146241533,3.837671999,0.846693664,0.308153395,27.49663267,10.4606568,1.878868016,VT,7.119806879,0.035527978,3.081533951,0.013403801,8.466936643,0.069686721,38.37671999,0.098150179,274.9663267,3.057446183,21.46241533,104.606568,18.78868016,0.21676868
6,42_3_PFM,Bhs2,NA,5/27/21 15:41,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.946865796,0.580739828,1.465231971,2.077484507,0.390670235,0.265292013,35.88650984,3.051714785,4.343331513,VT,5.807398282,0.028979033,2.652920134,0.011539453,3.906702352,0.032153929,20.77484507,0.053132596,358.8650984,3.990345794,14.65231971,30.51714785,43.43331513,0.125805011
7,42_3_PFM,Bhs3,NA,5/27/21 16:15,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.983954473,1.077705899,1.590724066,2.574921312,0.417387716,0.47414585,38.558932,3.146013528,2.109578782,VT,10.77705899,0.053777739,4.741458502,0.020624004,4.173877155,0.034352898,25.74921312,0.065854765,385.58932,4.287501705,15.90724066,31.46013528,21.09578782,0.174609407
8,42_3_PFM,BC,NA,5/27/21 16:25,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.987094247,1.25792675,1.842547409,3.048161908,0.533192351,0.434774055,39.90101223,4.845256509,2.408746939,VT,12.5792675,0.062770796,4.347740555,0.018911442,5.331923509,0.043884144,30.48161908,0.077958105,399.0101223,4.436732272,18.42547409,48.45256509,24.08746939,0.203524487
9,42_4_PFM,Oa,NA,5/27/21 16:28,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.900707294,49.66875454,5.954914073,23.07647864,10.04052686,1.073560963,4.179084366,2.265758352,6.491122798,VT,496.6875454,2.478480766,10.73560963,0.046696867,100.4052686,0.826380811,230.7647864,0.59019127,41.79084366,0.46468692,59.54914073,22.65758352,64.91122798,3.941749713
10,42_4_PFM,E,NA,5/27/21 16:32,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.054796507,2.943122699,0.833689516,4.568284525,0.963936007,0.481468893,3.084160926,1.773277657,0.248994124,VT,29.43122699,0.14686241,4.814688931,0.020942536,9.639360073,0.079336297,45.68284525,0.116835921,30.84160926,0.342938576,8.336895157,17.73277657,2.489941235,0.363977164
11,42_4_PFM,Bhs1,NA,5/27/21 16:39,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.905972324,2.445834534,1.693185699,8.277364263,2.396338072,1.074516617,25.26152133,55.42183521,0.362639284,VT,24.45834534,0.122047631,10.74516617,0.046738435,23.96338072,0.197229471,82.77364263,0.211697296,252.6152133,2.808916382,16.93185699,554.2183521,3.626392844,0.577712833
13,42_4_PFM,Bhs2,NA,5/27/21 16:46,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.983409427,1.598047723,0.852743185,5.282752925,0.926395684,0.423817724,45.31889036,14.75718427,0.342574966,VT,15.98047723,0.0797429,4.238177238,0.018434873,9.26395684,0.076246558,52.82752925,0.13510877,453.1889036,5.039164977,8.527431852,147.5718427,3.425749656,0.309533102
14,42_4_PFM,Bh,NA,5/27/21 16:50,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.088001778,0.942364526,0.418254179,2.103586793,0.209117934,0.289740319,30.63566528,1.597985293,0.171546529,VT,9.423645262,0.047024178,2.897403194,0.012602885,2.091179344,0.017211353,21.03586793,0.053800174,306.3566528,3.406486132,4.182541788,15.97985293,1.715465292,0.130638589
