,,SiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,Total,Sc,Be,V,Ba,Sr,Y,Zr,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Nb,Mo,Ag,In,Sn,Sb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U
W3.2_RF9,W3.2_RF9,62.2,16.74,9.49,0.13,2.57,0.74,1.12,3.56,1.007,0.12,2.99,100.7,16,3,178,512,93,25,229,90,13,< 20,40,120,26,1,5,169,16,4,1,< 0.2,3,< 0.5,10.2,48.5,97.6,11.5,44,8.6,1.45,6.7,1,4.8,0.9,2.6,0.36,2.2,0.36,5.9,1,< 1,0.6,19,< 0.4,14.2,4.5
W3.2_RF1,W3.2_RF1,68.67,15.09,5.81,0.13,1.17,0.24,2.05,4.15,0.75,0.17,2.55,100.8,13,2,79,555,57,28,236,40,9,20,10,110,20,2,6,194,12,< 2,1.1,0.2,9,< 0.5,4.7,36.2,75.5,8.99,33.5,6.8,1.13,5.8,0.9,5.2,1,2.8,0.43,2.6,0.37,5.8,1.4,7,1,35,< 0.4,12.5,2.4
W3.2_RF2,W3.2_RF2,65.25,15.61,6.61,0.093,1.48,1.56,2.21,3.69,0.922,0.19,1.62,99.24,16,3,97,560,121,35,259,50,10,20,10,90,23,2,11,222,15,2,1.5,0.3,6,0.5,40.2,49.6,105,12.1,47.1,9.3,1.55,7.9,1.2,6.9,1.4,3.9,0.56,3.6,0.55,6.4,1.3,20,1.5,26,< 0.4,16.3,3.3
W3.2_RF8,W3.2_RF8,72.62,13.23,2.44,0.049,0.35,0.91,2.65,5.19,0.214,0.08,0.71,98.43,5,4,15,311,52,30,81,< 20,23,60,< 10,50,20,2,< 5,276,8,< 2,0.5,< 0.2,5,0.9,11.8,28.3,60.1,7.19,26.8,5.9,0.67,5.4,1,6,1.2,3.5,0.53,3.5,0.53,2.8,1.4,< 1,1.5,32,< 0.4,16,3.5
W3.2_RF6,W3.2_RF6,71.53,14.47,3.3,0.047,0.77,1.1,2.26,5.54,0.414,0.21,1.12,100.8,6,2,35,402,107,21,122,20,6,< 20,< 10,50,20,2,< 5,227,10,< 2,0.7,< 0.2,4,< 0.5,6.7,44.5,95.8,11.2,41.6,9.5,1.27,7.8,1.1,5.3,0.9,2.2,0.28,2,0.31,3.9,1,13,1.2,43,< 0.4,20.4,6.1
W2.2_RF2,W2.2_RF2,77.56,14.5,0.76,0.011,0.21,0.44,1.8,3.16,0.114,0.04,2.03,100.6,3,4,18,290,102,4,23,< 20,1,< 20,< 10,< 30,15,2,< 5,112,4,< 2,< 0.5,< 0.2,5,< 0.5,3.1,1.6,2.9,0.33,1,0.3,0.73,0.3,< 0.1,0.3,< 0.1,0.2,< 0.05,0.3,0.06,0.6,1.2,2,0.4,21,< 0.4,0.4,0.4
W2.2_RF4,W2.2_RF4,68.48,14.39,6.85,0.109,1.53,0.85,1.52,4.16,0.915,0.07,1.83,100.7,17,6,113,466,72,31,273,60,10,30,10,100,24,2,< 5,277,17,2,1.5,< 0.2,10,0.8,27.7,50.1,106,12.5,48.2,9.3,1.12,7.8,1.2,6.5,1.2,3.3,0.48,3,0.44,7.1,1.7,4,1.7,17,< 0.4,17.4,4.8
W2.2_RF7,W2.2_RF7,65.5,14.69,7.06,0.093,2.23,0.76,1.51,3.65,1.008,0.04,2.69,99.24,19,2,164,387,95,36,218,90,10,30,< 10,110,26,2,< 5,191,16,< 2,1.3,< 0.2,6,0.7,13.4,57.9,118,14.1,53.5,10.1,1.53,8.6,1.3,7.5,1.5,4.3,0.6,3.7,0.56,6.4,1.3,9,1.1,28,< 0.4,19.3,4.3
W2.2_RF8,W2.2_RF8,67.36,14.02,6.28,0.085,1.88,1.34,2.63,2.64,0.889,0.05,2.27,99.46,14,2,128,339,152,37,211,50,7,20,< 10,80,21,2,< 5,147,11,2,1.1,< 0.2,4,< 0.5,10.5,46.9,96.9,11.4,43.6,8.7,1.88,7.6,1.2,7.2,1.4,4.1,0.55,3.5,0.54,5.4,0.9,< 1,0.8,33,< 0.4,14.4,3.8
42_4_d1_2,NA,74.99,12.2,2.95,0.077,0.65,1.26,2.46,3.34,0.434,0.17,1.62,100.2,7,4,42,431,103,33,223,30,19,< 20,10,70,16,1,7,148,7,< 2,1,< 0.2,4,< 0.5,6.8,31.6,67.6,7.96,29.6,6.2,1.07,5.8,0.9,5.7,1.2,3.5,0.54,3.7,0.57,5.6,1.1,216,0.6,28,0.5,11.2,3.9
