,,SiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,Total,Sc,Be,V,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Zr,Nb,Mo,Ag,In,Sn,Sb,Cs,Ba,Bi,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Th,U
W4.1_RF1,W4.1_RF1,66.54,15.05,7.17,0.11,1.55,1.11,2.3,3.97,0.74,0.19,2.14,100.9,15,3,82,50,31,20,10,80,23,2,< 5,280,81,31,204,16,< 2,0.8,0.2,7,< 0.5,24.4,259,0.5,41.6,87.1,10.2,37.9,7.8,1.03,6.5,1,5.7,1.1,3,0.42,2.7,0.41,5.1,1.6,244,1.5,18,12.9,3.1
W4.1_RF2,W4.1_RF2,68.66,16.4,2.59,0.036,0.57,0.64,3.22,6.25,0.379,0.14,1.81,100.7,6,4,28,< 20,19,< 20,< 10,40,23,1,< 5,310,110,37,161,11,< 2,0.6,< 0.2,9,< 0.5,9.2,614,< 0.4,31.7,92.4,7.99,29.2,6.6,1.07,6.4,1.1,6.3,1.3,3.6,0.51,3.1,0.47,4.3,2.3,279,1.7,39,22.5,3.5
W4.1_RF4,W4.1_RF4,64.08,16.1,6.24,0.167,1.91,0.18,0.51,3.62,1.412,0.04,4.34,98.6,22,2,181,100,25,30,< 10,70,29,2,< 5,128,51,47,284,19,< 2,1.2,< 0.2,4,< 0.5,5.3,735,< 0.4,62,128,14.7,55,11,1.28,9,1.4,8.4,1.6,4.8,0.69,4.3,0.68,7.3,2.2,271,0.7,16,19.3,4
W4.1_RF6,W4.1_RF6,68.4,14.39,6.31,0.097,1.5,1.35,2.28,3.52,0.758,0.19,2.03,100.8,14,3,92,50,33,< 20,10,60,20,2,< 5,161,115,35,209,13,3,0.8,< 0.2,6,< 0.5,12.7,380,< 0.4,36.8,76.5,8.92,34.2,7.1,1.31,6.4,1,6.4,1.2,3.6,0.5,3,0.48,5.2,2,347,0.8,18,12.4,2.5
W4.1_RF9,W4.1_RF9,70.64,13.96,4.04,0.07,0.83,1.12,2.38,4.26,0.409,0.16,1.36,99.24,8,4,48,30,24,< 20,< 10,60,17,2,< 5,210,104,26,105,8,< 2,< 0.5,< 0.2,7,< 0.5,16,493,< 0.4,22.9,48.4,5.55,21.2,4.7,1.21,4.4,0.8,4.7,0.9,2.7,0.4,2.6,0.4,2.7,2,288,1.1,31,7.3,1.7
V2.1_RF4,V2.1_RF4,65.14,15.33,7.62,0.105,1.67,1.21,1.67,4.09,0.984,0.28,2.24,100.3,18,2,118,60,22,< 20,10,70,25,2,< 5,177,103,39,310,19,2,1.2,< 0.2,5,< 0.5,10.6,629,< 0.4,50.1,105,12.2,46.3,9.5,1.34,7.6,1.2,7.3,1.5,4,0.59,3.9,0.58,7.4,1.1,201,0.2,19,15,3.5
V2.1_RF5,V2.1_RF5,64.27,17.43,7.08,0.234,2.02,0.33,1.16,4.32,1.037,0.1,2.66,100.7,23,4,151,80,42,40,< 10,90,24,2,9,343,88,42,223,16,< 2,0.9,< 0.2,7,< 0.5,44.9,873,< 0.4,50.8,104,11.9,44.9,8.7,1.55,7.4,1.1,6.9,1.5,4.5,0.66,4.5,0.73,5.4,2.8,474,2.3,22,14.8,3.9
V2.1_RF8,V2.1_RF8,63.26,16.3,8,0.106,1.59,0.91,1.87,3.69,1.158,0.31,3.49,100.7,20,3,119,60,30,20,10,90,30,2,10,223,72,48,320,27,< 2,1.3,0.2,9,< 0.5,11.8,225,0.4,54,114,13.4,50.8,10.8,1.19,9.3,1.5,8.5,1.6,4.8,0.68,4.5,0.71,8.1,4,377,1.3,25,15.2,3.7
X2.1_RF1,X2.1_RF1,69.67,13.7,5,0.081,1.22,0.95,2.2,5.43,0.742,0.16,1.23,100.4,14,3,84,50,31,20,< 10,60,20,2,< 5,229,194,58,222,13,< 2,0.9,< 0.2,9,< 0.5,26.2,610,< 0.4,41.8,88.5,10.2,39.2,8.3,1.36,8.2,1.4,9.2,1.9,5.9,0.87,5.6,0.87,5.6,2.6,402,1.5,39,14.2,3.3
X2.1_RF2,X2.1_RF2,73.48,12.26,4.12,0.059,0.93,0.63,1.85,5.35,0.579,0.15,1.42,100.8,11,2,66,30,40,< 20,10,50,17,2,< 5,199,152,31,153,8,< 2,0.6,< 0.2,6,< 0.5,19.4,557,< 0.4,29.5,62.7,7.23,27.1,5.7,1.2,5,0.8,5,1,3.1,0.44,3,0.47,3.7,2,732,1.2,38,9.6,2.6
