,,SiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,Total,Sc,Be,V,Ba,Sr,Y,Zr,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Nb,Mo,Ag,In,Sn,Sb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U
BR2.1_A,BR2.1_A,48.07,10.48,2.85,0.046,0.37,0.25,1.47,2.09,0.913,0.19,31.9,98.62,9,2,70,712,70,14,254,50,3,< 20,10,< 30,16,2,< 5,70,15,2,0.6,< 0.2,5,0.9,3.7,15.9,28.5,3.23,12.5,2.2,0.48,2.2,0.4,2.7,0.6,2,0.33,2.4,0.43,7.8,1.4,< 1,0.3,< 5,< 0.4,2.9,2
BR2.1_E.1,BR2.1_E.1,70.18,13.53,5.07,0.077,0.47,0.29,2.31,2.5,1.333,0.05,2.69,98.51,11,2,96,859,88,17,340,50,5,< 20,< 10,< 30,19,2,< 5,83,11,2,0.8,< 0.2,2,< 0.5,3.9,10.7,21.7,2.49,10.1,2.1,0.42,2.1,0.4,3.1,0.7,2.3,0.4,3,0.51,7.7,1.7,5,0.4,15,< 0.4,2.9,1.6
BR2.1_E.2,BR2.1_E.2,68.58,13.96,5.92,0.099,0.78,0.42,2.09,2.64,1.289,0.1,3.23,99.11,13,2,106,899,95,23,314,60,7,< 20,10,50,22,2,< 5,91,15,2,0.8,< 0.2,3,< 0.5,3.9,14.6,34.9,3.66,14,3,0.63,3.2,0.6,4,0.9,3.1,0.51,3.6,0.58,8.2,1.8,< 1,0.5,20,< 0.4,4.1,1.9
BR2.1_Bhs,BR2.1_Bhs,62.53,14.11,8.3,0.106,1.34,0.52,1.78,2.46,1.07,0.44,6.96,99.62,12,2,115,966,93,22,320,80,16,30,20,80,24,< 1,< 5,92,21,3,1.5,< 0.2,3,< 0.5,3.8,21.8,64.5,5.22,19.9,4.1,0.84,3.9,0.7,4.4,0.9,2.9,0.45,3,0.5,8.6,0.7,< 1,0.4,23,< 0.4,7,2.4
BR2.1_CB,BR2.1_CB,63.85,13.34,9.23,0.147,1.35,0.65,2.01,2.09,1.37,0.36,4.75,99.15,12,2,99,776,91,23,305,60,15,30,20,90,19,2,< 5,72,16,2,0.8,< 0.2,2,< 0.5,2.7,23.1,63.9,5.58,22.1,4.6,0.92,4.2,0.7,4.6,1,3,0.46,3.4,0.53,8.4,1.8,< 1,0.4,20,< 0.4,6.6,2.3
BR2.1_C2,BR2.1_C2,64.42,13.73,8.92,0.161,1.33,0.81,2.03,2.09,1.277,0.29,3.57,98.62,12,2,89,552,94,27,306,60,19,30,20,90,20,2,< 5,71,16,2,0.8,< 0.2,2,< 0.5,2.1,35.1,70.5,7.65,29.5,5.6,1.18,5.3,0.9,5.3,1.1,3.5,0.54,3.6,0.6,8.3,1.7,< 1,0.4,20,< 0.4,6.6,2.1
BR3.1_A,BR3.1_A,55.41,10.98,4.85,0.067,0.48,0.28,1.75,2.13,1.053,0.17,21.55,98.72,10,2,89,981,70,14,252,50,5,< 20,10,< 30,18,2,7,72,9,2,0.7,< 0.2,6,0.6,3.5,10.3,24.4,2.45,9.4,2.1,0.41,2,0.4,2.7,0.6,2,0.32,2.5,0.4,6.3,1.5,< 1,0.3,< 5,< 0.4,2.8,1.5
BR3.1_E,BR3.1_E,66.53,13.64,5.64,0.08,0.58,0.26,2.13,2.69,1.314,0.12,5.36,98.35,12,2,112,1220,86,17,320,60,7,< 20,10,50,25,2,5,99,14,2,0.9,< 0.2,3,< 0.5,5.2,12.4,28.3,2.98,11.4,2.4,0.49,2.4,0.5,3.5,0.8,2.6,0.44,3.2,0.54,8.4,1.9,1,0.5,32,< 0.4,3.7,1.8
BR3.1_Bhs1,BR3.1_Bhs1,62.52,12.74,7.74,0.092,0.62,0.28,1.85,2.45,1.341,0.19,9.07,98.9,12,2,117,1025,80,18,316,60,7,< 20,10,30,23,2,< 5,95,13,2,0.7,< 0.2,3,< 0.5,5.5,13.6,31.4,3.14,11.8,2.7,0.56,2.5,0.5,3.4,0.8,2.5,0.41,2.9,0.48,7.7,1.8,1,0.5,17,< 0.4,4.4,2.1
BR3.1_Bhs2,BR3.1_Bhs2,66.06,12.94,7.43,0.093,0.53,0.3,1.98,2.4,1.371,0.11,5.67,98.88,11,2,107,908,81,19,327,60,7,20,10,40,21,2,5,89,14,2,0.8,< 0.2,3,< 0.5,4.7,14.9,36.7,3.58,13.6,2.9,0.68,2.8,0.5,3.7,0.9,2.7,0.43,3,0.51,8,1.9,< 1,0.5,23,< 0.4,4.5,2
BR3.1_Bhs3,BR3.1_Bhs3,62.39,12.96,8.88,0.105,0.72,0.38,1.8,2.17,1.294,0.19,8.5,99.39,11,2,112,753,82,21,378,70,12,20,20,50,21,1,< 5,83,23,2,1.7,< 0.2,3,< 0.5,4.7,21.5,65.3,5.08,19.7,3.8,0.89,3.7,0.6,4.2,0.9,2.8,0.43,3,0.48,9.4,0.8,< 1,0.4,22,< 0.4,6.6,2.5
BR3.1_Bhs4.1,BR3.1_Bhs4.1,58.85,12.88,11,0.132,0.99,0.5,1.74,1.88,1.204,0.25,10.96,100.4,11,2,102,630,80,24,319,80,18,30,30,70,23,1,< 5,78,23,3,1.5,< 0.2,2,< 0.5,3.9,28.8,82.4,6.94,26.2,5.5,1.17,5,0.9,5.3,1.1,3.3,0.53,3.8,0.62,9.2,0.9,1,0.4,22,< 0.4,9,3.1
BR3.1_Bhs4.2,BR3.1_Bhs4.2,65.74,12.53,8.78,0.139,1.1,0.67,2.09,1.62,1.18,0.2,4.45,98.49,10,2,78,461,82,21,243,50,16,40,20,60,17,2,< 5,55,13,< 2,0.6,< 0.2,2,< 0.5,1.8,20.8,54.4,5.13,19.9,4,0.93,3.9,0.7,4.5,0.9,3.1,0.49,3.3,0.55,5.8,1.6,< 1,0.3,15,< 0.4,5.6,1.8
BR3.1_CB,BR3.1_CB,68.47,12.95,7.94,0.141,1.2,0.73,2.22,1.77,1.134,0.23,3.28,100.1,11,2,78,536,91,23,297,50,19,40,20,100,18,2,< 5,60,14,< 2,0.7,< 0.2,2,< 0.5,2,24.6,70.1,5.94,23.1,4.7,1.04,4.6,0.8,5.1,1.1,3.3,0.5,3.4,0.52,8.1,1.6,2,0.4,19,< 0.4,6,2
W2.2_RF5,WRF2.5,68.69,14.62,6.01,0.082,1.19,1.02,1.7,3.71,0.804,0.07,1.67,99.57,15,3,90,332,80,26,228,40,8,< 20,< 10,70,26,2,< 5,200,12,< 2,0.7,< 0.2,4,< 0.5,25.5,49.5,103,12.3,48.3,9.4,1.26,8,1.1,6.3,1.2,3.4,0.48,3.1,0.52,6.1,1.7,< 1,1.1,23,< 0.4,16.1,3.6
W2.2_RF6,WRF2.6,69.12,13.71,5.9,0.065,1.7,1.28,2.38,2.54,0.844,0.05,2.25,99.84,14,2,123,326,143,33,211,60,6,< 20,20,80,23,2,< 5,149,11,2,0.6,< 0.2,5,< 0.5,11,48.1,98.2,11.8,45.7,9.4,1.99,8.6,1.3,7.6,1.5,4.2,0.58,3.6,0.54,6.4,1.1,1,1,41,< 0.4,13.9,3.4
W3.2_RF5,WRF3.5,69.95,14.1,3.56,0.038,0.71,0.83,1.93,5.24,0.404,0.21,1.46,98.43,6,2,36,421,106,22,129,20,5,< 20,< 10,40,21,1,< 5,191,8,< 2,< 0.5,< 0.2,5,< 0.5,3.6,47.2,101,12,45.3,10.4,1.32,8.8,1.3,5.7,0.9,2.5,0.35,2.2,0.33,3.8,1.1,1,1.1,47,< 0.4,20.1,5.2
W3.2_RF7,WRF3.7,68.34,16.47,2.89,0.058,0.56,1.08,3.26,6.47,0.245,0.17,0.7,100.2,5,6,22,579,89,23,125,< 20,3,< 20,< 10,60,21,2,12,314,11,< 2,< 0.5,< 0.2,12,< 0.5,20.6,26.2,56.8,6.81,25.6,5.7,1.09,5.9,1,5.3,0.9,2.6,0.38,2.4,0.35,3.7,2,< 1,1.9,51,< 0.4,13.5,3
V4.1_RF9,VRF4.9,72.84,14.05,2.24,0.035,0.34,0.82,2.54,5.15,0.213,0.17,0.99,99.4,4,3,16,225,65,19,76,< 20,63,< 20,< 10,50,18,2,< 5,216,7,2,< 0.5,< 0.2,4,< 0.5,5.4,26,55.3,6.48,24.4,6.3,0.73,5.6,0.9,4.6,0.8,2.1,0.29,1.9,0.29,2.4,3.2,1020,1.4,48,< 0.4,11.9,4.3
V4.1_RF10,VRF4.10,73.77,13.54,2,0.028,0.32,0.61,1.77,5.99,0.241,0.1,1.18,99.54,5,2,17,259,57,22,80,< 20,78,< 20,< 10,30,20,2,< 5,263,7,< 2,< 0.5,< 0.2,7,< 0.5,13.5,25,53.6,6.25,23.3,5.8,0.73,5.3,0.9,4.9,0.9,2.4,0.36,2.5,0.38,2.5,3.9,1290,1.5,43,< 0.4,11.8,3.5
V4.1_RF11,VRF4.11,70.65,12.98,5.52,0.081,1.1,0.73,1.38,3.98,0.747,0.13,2.03,99.32,14,2,87,284,60,33,234,40,8,20,< 10,90,27,2,7,257,13,< 2,0.5,< 0.2,8,< 0.5,16.7,50.5,108,12.5,49.3,10.3,1,8.6,1.3,7.6,1.4,4.2,0.61,4,0.62,6.4,2.2,6,1.6,21,< 0.4,16.3,2.8
X4.1_RF16,XRF4.16,74.11,12.37,2.7,0.041,0.32,0.95,2.89,4.38,0.214,0.03,0.41,98.43,4,3,16,283,52,29,87,< 20,2,< 20,< 10,40,19,2,< 5,250,7,< 2,< 0.5,< 0.2,8,< 0.5,22.1,20.9,47.6,5.1,19.4,4.5,0.58,4.4,0.8,5.5,1.1,3.3,0.51,3.4,0.53,2.8,1.7,3,1.7,28,< 0.4,10.6,2.3
X4.1_RF17,XRF4.17,72.34,13.35,3.32,0.041,0.58,0.6,1.71,6.4,0.383,0.12,1.26,100.1,7,2,33,457,94,22,148,< 20,4,< 20,< 10,40,21,2,< 5,256,10,< 2,< 0.5,< 0.2,8,< 0.5,15.2,37.1,81.4,9.15,35,8.2,1,7,1,5.3,1,2.8,0.41,2.6,0.37,4.5,1.4,3,1.9,51,< 0.4,16.8,3
V2.1_RF10,VRF2.10,68.35,14.53,6.63,0.098,1.41,1.55,1.99,4.06,0.854,0.23,1.05,100.8,15,2,97,495,104,34,257,50,9,< 20,30,90,24,2,7,197,17,< 2,0.7,< 0.2,6,< 0.5,12.5,46.7,98.3,11.8,45.6,9.5,1.49,8.3,1.3,7.4,1.4,4,0.61,3.9,0.57,7.1,1.8,2,1.3,30,< 0.4,14.1,3.2
V2.1_RF11,VRF2.11,72.53,13.71,3.13,0.059,0.56,0.59,1.82,5.86,0.345,0.25,1.35,100.2,5,2,29,460,107,18,121,< 20,4,< 20,< 10,50,18,1,< 5,189,8,< 2,< 0.5,< 0.2,3,< 0.5,3.7,34.2,72.3,8.66,33,7.9,1.21,6.8,1,4.7,0.8,1.9,0.25,1.5,0.24,3.4,1,1,1.3,46,< 0.4,14.1,4.5
W4.1_RF5,WRF4.5,66.57,15.31,6.68,0.09,1.3,1.4,2.49,4.12,0.74,0.2,1.32,100.2,12,2,77,297,86,38,257,40,10,20,20,100,26,2,< 5,291,21,2,0.6,< 0.2,10,< 0.5,33.3,47.4,98.9,11.6,46.8,9.9,1.24,8.6,1.4,8.4,1.6,4.6,0.65,4.1,0.62,7.4,2.3,2,2.1,25,< 0.4,16.4,3.1
W4.1_RF13,WRF4.13,74.65,13.63,2.03,0.028,0.29,1.84,3.46,2.71,0.166,0.1,0.54,99.46,3,4,17,155,103,10,51,< 20,2,< 20,< 10,< 30,17,2,< 5,96,4,< 2,< 0.5,< 0.2,18,< 0.5,5.1,11.2,22.6,2.7,10.1,2.3,1.16,2.1,0.4,2.2,0.4,1.2,0.17,1.2,0.18,1.5,0.8,< 1,0.7,57,< 0.4,3.2,1.3
