,Pedon,TDepth,BDepth,Depth,Name,Ti,Zr,Y,Ratio,Fe,Si,Ca,P,tau_Fe,tau_Si,tau_Ca,tau_P,LV,Hor,Cat
88,42_3_V3.1,108,123,115.5,42_3_V3.1_D.2,2780.978901,178,27,15.62347697,21752.29667,332487.734,10791.90756,741.9288019,-0.009292512,-0.156755048,0.075274353,0.028479064,,,DC
89,42_4_V4.1,118,126.5,122.25,42_4_V4.1_D.4,2367.428159,233,28,10.16063588,16646.45211,356327.0063,9433.985418,698.2859312,-0.109399574,0.061567823,0.104173084,0.137070524,,,DC
90,42_4_V4.1,180,184,182,42_4_V4.1_D.9,1881.955549,161,24,11.6891649,17066.11057,364881.0982,8076.063275,611.0001898,0.148585198,0.367470043,0.189074638,0.251592357,,,DC
91,52_3_X3.1,105,120,112.5,52_3_X3.1_D.1,2870.881236,195,31,14.72246788,24130.36125,346604.3227,9148.107072,611.0001898,0.064600384,-0.148480566,-0.117052712,-0.17954071,,,DC
92,52_3_X3.1,160,180,170,52_3_X3.1_D.2,4003.650659,186,46,21.52500354,35880.79804,318698.3509,8933.698313,698.2859312,0.135125656,-0.438565035,-0.381707653,-0.327630453,,,DC
93,52_3_X3.1,280,300,290,52_3_X3.1_D.3,2151.662555,109,23,19.74002344,19584.06131,365675.7406,8004.593688,480.0715777,0.152833584,0.198664942,0.030822512,-0.139872662,,,DC
94,52_4_X4.1,109,111,110,52_4_X4.1_D.3,1828.014148,142,28,12.87333907,16646.45211,372734.0349,8290.472034,523.7144484,0.153400551,0.438120622,0.256661964,0.104449649,,,DC
95,52_4_X4.1,134,144,139,52_4_X4.1_D.6,1348.535027,77,20,17.51344191,12869.526,371565.4432,7146.95865,523.7144484,0.208755162,0.943340497,0.468513024,0.497142857,,,DC
96,52_4_X4.1,155,160,157.5,52_4_X4.1_D.8,1408.469917,111,21,12.68891817,13568.95676,378109.5571,6932.549891,480.0715777,0.220216532,0.893415357,0.363842415,0.313981763,,,DC
97,52_4_X4.1,160,172,166,52_4_X4.1_D.9,2517.265384,251,31,10.02894575,16996.16749,363992.9684,10720.43798,698.2859312,-0.144815107,0.019858233,0.180055109,0.069387755,,,DC
98,52_4_X4.1,262,291,276.5,52_4_X4.1_D.16,2882.868214,262,33,11.00331379,19164.40285,356467.2373,10648.96839,785.5716726,-0.158006918,-0.127891245,0.023532206,0.05049005,,,DC
99,86_4_W4.1,100,110,105,86_4_W4.1_D.2,2894.855192,258,34,11.22036896,20423.37822,349315.4556,9076.637486,698.2859312,-0.106409059,-0.148927077,-0.131205804,-0.070097604,,,DC
100,86_4_W4.1,125,135,130,86_4_W4.1_D.4,2385.408626,203,29,11.75078141,17136.05364,355392.1329,8719.289553,654.6430605,-0.090115956,0.050801878,0.012831218,0.057968414,,,DC
101,42_4_d1_2,NA,NA,NA,42_4_d1_2,2601.17423,223,33,11.66445843,20633.20745,350530.7911,9005.167899,741.9288019,0.004697504,-0.049542841,-0.040729396,0.099572087,,,DC
102,52_4_d2_3,NA,NA,NA,52_4_d2_3,3140.588241,228,36,13.77450983,20143.60592,351839.6139,11220.72508,785.5716726,-0.187610619,-0.209849988,-0.010014837,-0.035714286,,,DC
103,86_3_d2_2,NA,NA,NA,86_3_d2_2,2978.764038,212,29,14.05077376,23500.87357,342724.598,8361.941621,654.6430605,-0.000722922,-0.188506604,-0.222160858,-0.152773786,,,DC
