"","Pit","Inc","Approx. horizon","Horizon no.","Top depth","Bottom depth","Oriented","Weight","Bulk/Ind","Kinsman","Rangeley","Ammonoosuc","Other","TS","Elemental","Comment","newname","Si","Al","Fe","Mn","Mg","Ca","Na","K","Ti","P","Ba","Sr","Y","Zr","Co","Ga","Rb","Sn","Cs","La","Ce","Pr","Nd","Sm","Eu","Gd","Dy","Er","Yb","Lu","Th","U"
"1","42_2_V2.1","RF8","E",NA,15,20,"Y","642.1","Ind",642.1,NA,NA,NA,"1","Y","V4-8 (V2.1_RF8)","V2.1_RF8",295700.4646438,86269.573644,55954.46088,820.92955676,9588.3659238,6503.7323715,13872.860166,30632.543118,6940.46027358,1352.9289917,225,72,48,320,30,30,223,9,11.8,54,114,13.4,50.8,10.8,1.19,9.3,8.5,4.8,4.5,0.71,15.2,3.7
"2","42_2_V2.1","RF4","E",NA,20,28,"Y","1869","Ind",1869,NA,NA,NA,"1","Y","V2.1_RF4","V2.1_RF4",304488.2748482,81135.7401204,53296.6239882,813.1849383,10070.7994294,8647.8199665,12389.131806,33953.143998,5897.59318584,1222.0003796,629,103,39,310,22,25,177,5,10.6,50.1,105,12.2,46.3,9.5,1.34,7.6,7.3,4,3.9,0.58,15,3.5
"3","42_3_V3.1","RF3","Bhs",1,20,25,"Y","374.7","Ind",374.7,NA,NA,NA,"1","Y",NA,"V3.1_RF3",328794.9839242,83517.4154664,16506.5659596,325.27397532,3316.730351,9648.3941775,20549.637786,53710.719234,1911.92299419,480.0715777,649,119,44,124,39,20,243,3,6.4,54.8,116,13.4,48.3,10.5,1.31,9,8,4.2,3.5,0.55,28.6,5.1
"4","42_3_V3.1","RF4","Bhs",2,22,36,"Y","1095.6","Ind",1095.6,NA,NA,NA,"1","Y",NA,"V3.1_RF4",334778.1738506,74943.3842208,23710.7027979,480.16634452,3738.8596684,6861.080304,18101.485992,46654.442364,1983.84486231,741.9288019,372,78,28,126,39,20,294,8,13.2,34.7,74.8,8.75,32.6,7.5,0.86,6.4,5.2,2.7,2.3,0.36,18.1,4.6
"5","42_3_V3.1","RF6","Bhs",3,45,50,"Y","671.9","Ind",671.9,NA,NA,NA,"1","Y",NA,"V3.1_RF6",337395.8194434,71185.629786,26648.3119941,394.97554146,4583.1183032,8147.532861,18694.977336,44330.021748,2355.44118093,872.857414,438,95,37,143,22,17,214,6,11.7,44.1,93.8,10.9,40.4,9.2,0.99,8.3,7,3.4,2.9,0.44,20.4,3.9
"6","42_3_V3.1","RF9","Cd",NA,97,102,"Y","363.3","Ind",363.3,NA,NA,NA,"1","Y",NA,"V3.1_RF9",342257.1612586,77219.2073292,5735.3322402,147.14775074,1025.1711994,5288.749401,19659.40077,53710.719234,563.38796694,698.2859312,221,65,11,28,45,15,253,5,9.6,9.1,19.8,2.3,8.4,2.1,0.6,2.1,1.9,0.9,0.8,0.13,4.3,1.4
"7","42_3_V3.1","RF10","Cd",NA,103,111,"Y","311.1","Ind",311.1,NA,NA,NA,"1","Y",NA,"V3.1_RF10",312902.1356822,81770.853546,42595.3333449,712.50489832,8080.7612188,9219.5766585,17359.621812,36194.549592,4297.33162017,698.2859312,414,102,53,233,29,21,215,7,15.4,38.4,81.3,9.48,36.6,8.1,1.27,7.7,9,5.5,5.5,0.84,12.5,3.5
"8","42_4_V4.1","RF1","E",NA,19,24,"Y","556","Ind",556,NA,NA,NA,"Y","Y","1.1000000000000001","V4.1_RF1",353101.6930002,68698.1022024,17345.8828728,472.42172606,2773.9926572,1786.7396625,7715.387472,41756.556066,1186.71082398,916.5002847,335,36,19,60,18,17,306,12,8.7,20.1,45.5,4.94,18.5,4.4,0.84,3.9,3.4,1.7,1.7,0.28,5.8,2.4
"9","42_4_V4.1","RF2","E",NA,15,19,"Y","337.8","Ind",337.8,NA,NA,NA,"Y","Y","1.2","V4.1_RF2",348801.2752406,70391.738004,14688.045981,240.08317226,2653.3842808,4431.114363,15504.961362,45243.18699,1732.11832389,741.9288019,355,78,24,119,34,19,248,11,12.7,30.7,69.1,7.63,28.2,6.5,0.85,5.7,4.5,2.1,1.9,0.29,16.4,2.7
"10","42_4_V4.1","RF3","Bhs",1,24,28,"Y","319.1","Ind",319.1,NA,NA,NA,"Y","Y","2.1","V4.1_RF3",343332.2656985,72561.7088748,18185.199786,317.52935686,3316.730351,3430.540152,12982.62315,45990.322188,2181.62999964,916.5002847,467,121,19,99,44,19,190,6,4.9,30.9,66.7,7.75,28.9,6.9,0.99,5.7,4.1,1.7,1.6,0.25,12.8,3.6
