,Name,Si,Al,Fe,Mn,Mg,Ca,Na,K,Ti,P,Ba,Sr,Y,Zr,Co,Ga,Rb,Sn,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Dy,Er,Yb,Lu,Th,U
1,K1,338470.9239,73302.67454,25389.33662,418.2093968,4160.988986,10506.02922,23442.90809,33704.09893,2643.128653,523.7144484,247,75,32,169,36,18,177,7,27.4,33.6,71.6,8.33,31.4,7.1,0.99,6.6,6.4,3.2,2.7,0.44,14,4.1
2,42_4_d1_1,314538.1642,81506.22295,49729.52711,580.8463845,12060.83764,4431.114363,10163.53927,31130.63325,3500.197582,349.1429656,737,117,11,147,89,18,122,2,8.9,41.4,83.9,9.43,34.5,6.7,1.75,5.1,3.1,1.1,0.9,0.13,12.4,3.2
3,52_4_d2_1,268869.5973,101565.222,69593.36072,2060.06851,18995.81928,929.1046245,4896.303588,43167.81144,7246.128213,218.2143535,581,54,45,249,61,26,239,7,22.7,61.8,128,14.4,54.2,10.6,1.63,9.3,8.9,5.1,4.6,0.73,18.3,4.8
19,W4.1_RF3,332534.4776,73884.86184,16856.28134,363.9970676,3135.817786,6861.080304,17582.18107,45990.32219,1851.988104,480.0715777,446,99,20,105,21,17,227,7,12.1,33.2,70.4,8.06,29.7,6.5,1.14,5.3,3.9,2,1.8,0.28,14.5,2.7
20,W4.1_RF11,316594.8857,80183.06998,33852.44883,635.0587137,6633.460702,7504.306583,16395.19838,35198.36933,3877.787389,1003.786026,428,101,34,207,62,20,225,13,13.8,36.4,78.5,8.91,34.2,7.5,1.18,6.8,6.7,3.8,3.5,0.52,11.8,2.9
75,W4.1_RF1,311032.3888,79653.80879,50149.18556,851.9080306,9347.149171,7933.124102,17062.87614,32956.96373,4435.181867,829.2145433,259,81,31,204,31,23,280,7,24.4,41.6,87.1,10.2,37.9,7.8,1.03,6.5,5.7,3,2.7,0.41,12.9,3.1
76,W4.1_RF2,320942.0471,86798.83483,18115.25671,278.8062646,3437.338727,4574.053536,23888.0266,51884.38875,2271.532335,611.0001898,614,110,37,161,19,23,310,9,9.2,31.7,92.4,7.99,29.2,6.6,1.07,6.4,6.3,3.6,3.1,0.47,22.5,3.5
77,W4.1_RF4,299533.4457,85211.05127,43644.47949,1293.351283,11518.09995,1286.452557,3783.507318,30051.43796,8462.806482,174.5714828,735,51,47,284,25,29,128,4,5.3,62,128,14.7,55,11,1.28,9,8.4,4.8,4.3,0.68,19.3,4
78,W4.1_RF6,319726.7117,76160.68495,44134.08102,751.2279906,9045.62823,9648.394178,16914.5033,29221.28774,4543.06467,829.2145433,380,115,35,209,33,20,161,6,12.7,36.8,76.5,8.92,34.2,7.1,1.31,6.4,6.4,3.6,3,0.48,12.4,2.5
79,W4.1_RF9,330197.2941,73884.86184,28257.00274,542.1232922,5005.247621,8004.593688,17656.36748,35364.39937,2451.337005,698.2859312,493,104,26,105,24,17,210,7,16,22.9,48.4,5.55,21.2,4.7,1.21,4.4,4.7,2.7,2.6,0.4,7.3,1.7
80,V2.1_RF4,304488.2748,81135.74012,53296.62399,813.1849383,10070.79943,8647.819967,12389.13181,33953.144,5897.593186,1222.00038,629,103,39,310,22,25,177,5,10.6,50.1,105,12.2,46.3,9.5,1.34,7.6,7.3,4,3.9,0.58,15,3.5
81,V2.1_RF5,300421.5754,92250.22507,49519.69788,1812.24072,12181.44602,2358.496355,8605.624488,35862.4895,6215.248103,436.428707,873,88,42,223,42,24,343,7,44.9,50.8,104,11.9,44.9,8.7,1.55,7.4,6.9,4.5,4.5,0.73,14.8,3.9
82,V2.1_RF8,295700.4646,86269.57364,55954.46088,820.9295568,9588.365924,6503.732372,13872.86017,30632.54312,6940.460274,1352.928992,225,72,48,320,30,30,223,9,11.8,54,114,13.4,50.8,10.8,1.19,9.3,8.5,4.8,4.5,0.71,15.2,3.7
83,X2.1_RF1,325663.1579,72508.78276,34971.53805,627.3140953,7357.11096,6789.610718,16321.01196,45077.15695,4447.168845,698.2859312,610,194,58,222,31,20,229,9,26.2,41.8,88.5,10.2,39.2,8.3,1.36,8.2,9.2,5.9,5.6,0.87,14.2,3.3
