"","X","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce","LV","Hor","Cat"
"1",1,"42_2_PFM",8,32,20,"42_2_PFM_E1",5100.45914751,366,33,13.9356807309016,14338.3306005,45675.2405244,369555.4652978,433.69863376,4574.053536,480.0715777,19342.500126,64.5,-0.643936597230221,-0.635663090671181,-0.488970263797062,-0.630862490960213,-0.751508959586858,-0.637149571915172,-0.604234537579401,-0.509754801410684,"L","E","LE"
"2",2,"42_2_PFM",32,47,39.5,"42_2_PFM_E2",2966.77705995,248,35,11.9628107256048,16506.5659596,43558.1957724,378343.2755022,650.54795064,6432.262785,349.1429656,19508.53017,56.3,-0.295290962713266,-0.402666914340736,-0.100550213292189,-0.0480726660822451,-0.399244672183,-0.54632034629908,-0.313762899361134,-0.264324335348139,"L","E","LE"
"3",3,"42_2_V2.1",6,8,7,"42_2_V2.1_Oa",3236.4840654,205,24,15.7877271482927,10491.461415,32020.301874,256949.9611361,3918.77694076,3930.8272575,916.5002847,12203.208234,46.6,-0.589417404123195,-0.597483628486999,-0.440047872365732,4.25637652835935,-0.663465765435847,0.0916666667178374,-0.606508726335799,-0.441818612047745,"L","Oa","LOa"
"4",4,"42_2_V2.1",8,14,11,"42_2_V2.1_E.1",5010.55681236,383,34,13.082393765953,9861.9737301,44299.1614356,379511.8672847,929.3542152,3930.8272575,261.8572242,18097.274796,76.8,-0.750703677431739,-0.640299439288927,-0.465786097527356,-0.194798307776335,-0.782621427434638,-0.798530416942026,-0.623069095337779,-0.405792489240715,"L","E","LE"
"5",5,"42_2_V2.1",14,20,17,"42_2_V2.1_E.2",5178.37450464,417,34,12.4181642797122,9372.3721974,46522.0584252,381521.8451506,449.18787068,3716.418498,218.2143535,19674.560214,81.4,-0.770758050635451,-0.634491848595116,-0.480360962144022,-0.623431523412991,-0.80113886139391,-0.837549603166988,-0.603497313527145,-0.39061205768088,"L","E","LE"
"6",6,"42_2_V2.1",20,28,24,"42_2_V2.1_E.3",5298.24428484,418,32,12.6752255618182,10211.6891106,45728.1666432,384887.3894842,511.14481836,4288.17519,349.1429656,19176.470082,69.2,-0.755879850234334,-0.648857487952758,-0.487637283391125,-0.58118581664656,-0.775736133280984,-0.745959922418603,-0.622278900199523,-0.493666078277633,"L","E","LE"
"7",7,"42_2_V2.1",28,32,30,"42_2_V2.1_E.4",4141.50090591,371,31,11.1630752180863,9022.6568169,40806.0375948,393955.6617164,495.65558144,4359.6447765,305.5000949,17931.244752,67.5,-0.724059974637933,-0.599134883889146,-0.329088244391989,-0.480444870468705,-0.708316335046883,-0.715629522417929,-0.548157337190581,-0.368157376233371,"L","E","LE"
"8",8,"42_3_PFM",5.5,8.5,7,"42_3_PFM_Oa",2265.53884578,181,15,12.5167892032044,18185.199786,33449.3070816,231661.6349628,480.16634452,4073.7664305,1963.9291815,11622.10308,39.5,0.0166807135997076,-0.399314411343054,-0.27879551325257,-0.0799115054819888,-0.501754509866059,2.34183673485052,-0.464637722905849,-0.324090593987919,"L","Oa","LOa"
"9",9,"42_3_PFM",8.5,30.5,19.5,"42_3_PFM_Bhs1",3170.55568629,230,20,13.785024723,31474.384245,46469.1323064,306825.4584132,1068.75734748,5574.627747,2618.572242,16769.034444,51.6,0.257360690586813,-0.403705534966195,-0.317454162649528,0.463366553693443,-0.512809006363907,2.18390494208821,-0.448040480288942,-0.369075744424185,"L","Bhs","LBhs"
"10",10,"42_3_PFM",30.5,41.5,36,"42_3_PFM_Bhs2",3566.12596095,290,25,12.2969860722414,28746.6042771,53190.749394,305189.4299177,1765.77300888,5360.2189875,2182.143535,16270.944312,52.4,0.0210050569064215,-0.393164428585024,-0.396400842532891,1.14955019819844,-0.583509961807542,1.35894357754155,-0.523842492372732,-0.430363885256356,"L","Bhs","LBhs"
"11",11,"42_3_PFM",41.5,60,50.75,"42_3_PFM_Bhs3",3398.30826867,271,26,12.5398829102214,30914.8396362,55096.0896708,295092.7969169,1332.07437512,5574.627747,2487.6436299,15357.77907,50.8,0.152238142079669,-0.340386394734302,-0.387548570777977,0.701669043624709,-0.545460254614651,1.82199546498489,-0.52837132732182,-0.420486112651245,"L","Bhs","LBhs"
"12",12,"42_3_V3.1",9,13,11,"42_3_V3.1_Oa",1851.98810409,93,13,19.9138505816129,10701.2906433,28050.842964,163789.8242352,960.33268904,2644.3747005,2225.7864057,9131.65242,27.4,-0.268126557252608,-0.383774984476606,-0.376229918982312,1.25109029726737,-0.604356928120519,3.63314840521024,-0.485428490948341,-0.42644472574263,"L","Oa","LOa"
"13",13,"42_3_V3.1",13,21,17,"42_3_V3.1_Bhs1",3644.04131808,260,27,14.0155435310769,19444.1751558,46574.984544,323185.7433682,1742.5391535,4931.4014685,1658.4290866,17765.214708,55.3,-0.32415943757647,-0.480002773643491,-0.374474933202142,1.07591061276414,-0.625021962324751,0.754464285796525,-0.491229730748355,-0.411692010425011,"L","Bhs","LBhs"
"14",14,"42_3_V3.1",21,28,24.5,"42_3_V3.1_Bhs2.1",3973.68321363,288,32,13.7975111584375,25948.8812331,50385.6650976,316033.9616593,1827.72995656,4716.992709,1963.9291815,17599.184664,57.7,-0.172889720885278,-0.484123963782447,-0.439060104122321,0.996770651947714,-0.671079662145443,0.90530058186048,-0.537795825929575,-0.437081555233515,"L","Bhs","LBhs"
"15",15,"42_3_V3.1",28,35,31.5,"42_3_V3.1_Bhs2.2",3098.63381817,174,22,17.8082403343103,32943.1888431,56736.7993536,282051.3126242,1587.6467843,6003.445266,2836.7865955,16353.959334,48.5,0.346583848295378,-0.255051626064401,-0.358001985750485,1.22429829163913,-0.463154813440127,2.52928985924253,-0.449208519948978,-0.393215623709351,"L","Bhs","LBhs"
"16",16,"42_3_V3.1",35,45,40,"42_3_V3.1_Bhs3.1",2733.03098856,186,26,14.6937149922581,31264.5550167,57848.2478484,291867.4835972,1355.3082305,6575.201958,2662.2151127,17184.109554,56.5,0.448924371238935,-0.138853078170206,-0.246788445263557,1.15279619101466,-0.333372377466224,2.75516917310835,-0.343828998535262,-0.198567777914723,"L","Bhs","LBhs"
"17",17,"42_3_V3.1",45,55,50,"42_3_V3.1_Bhs3.2",2840.91379074,250,30,11.36365516296,27347.7427551,57160.208304,311032.3888302,1091.99120286,7647.2457555,2269.4292764,17433.15462,60.5,0.219274392312639,-0.18140827887721,-0.227811415766349,0.66867008917997,-0.254125505442395,2.07956600376099,-0.35959828879244,-0.174417977562875,"L","Bhs","LBhs"
"18",18,"42_3_V3.1",55,62,58.5,"42_3_V3.1_Bhs3.3",2751.01145559,233,31,11.806916118412,23780.645874,58165.8045612,320100.6610624,960.33268904,8647.8199665,1963.9291815,18595.364928,60.4,0.0948869223381466,-0.139785138954228,-0.179327297233899,0.515439873323783,-0.128970216422192,1.75210084046514,-0.294581470181825,-0.148847366010699,"L","Bhs","LBhs"
"19",19,"42_3_V3.1",62,67,64.5,"42_3_V3.1_BC.1",2343.45420291,160,31,14.6465887681875,19863.8336124,58165.8045612,332487.7339569,751.22799062,8433.411207,1745.714828,20421.695412,58.5,0.073605232799093,0.00981744557547182,0.000679431880666215,0.391632899100627,-0.00283834334211475,1.87175739874623,-0.0905687354323921,-0.0322519540842924,"L","BC","LBC"
"20",20,"42_3_V3.1",67,77,72,"42_3_V3.1_BC.2",2367.42815895,229,31,10.3381142312227,20353.4351451,57213.1344228,340434.1580779,604.08023988,8862.228726,1440.2147331,19757.575236,57,0.0889274112418759,-0.0167803882958494,0.0142199204641442,0.107712910264151,0.0372535027118839,1.34520795671029,-0.129053672757719,-0.0666147052115815,"L","BC","LBC"
"21",21,"42_3_V3.1",77,82,79.5,"42_3_V3.1_BC.3",2313.48675786,193,32,11.98697802,17345.8828728,59965.2926004,352026.5885603,487.91096298,9219.5766585,1091.0717675,21915.965808,58.4,-0.0503416020756179,0.0545435979064122,0.073208898464346,-0.0844481276762528,0.104238096078139,0.818097705488627,-0.0113828209515272,-0.021392056168565,"L","BC","LBC"
"22",22,"42_4_PFM",9,11.5,10.25,"42_4_PFM_E",3128.60126322,233,24,13.4274732327039,15737.1921225,46998.3934944,359552.3196396,410.46477838,5789.0365065,349.1429656,20089.635324,45.2,-0.362889075363579,-0.388826666451618,-0.189435284619926,-0.430445776196582,-0.487286401259629,-0.569786535283611,-0.329874115223529,-0.439918631002473,"V","E","VE"
"23",23,"42_4_PFM",11.5,16,13.75,"42_4_PFM_Bhs1",3398.30826867,180,22,18.8794903815,38398.7487789,44881.3487424,293690.4867779,433.69863376,5717.56692,785.5716726,16686.019422,45.2,0.431173619913435,-0.462677870062141,-0.390459000506578,-0.445968218354746,-0.533805389348359,-0.108843537373194,-0.487581820495599,-0.484369533303864,"V","Bhs","VBhs"
"24",24,"42_4_PFM",16,36,26,"42_4_PFM_Bhs2",3416.2887357,246,23,13.8873525841463,31824.0996255,55837.055334,299486.7020191,487.91096298,6217.8540255,741.9288019,17101.094532,46.5,0.179884722888082,-0.33503384993198,-0.381700649430315,-0.379994696987778,-0.49568171164836,-0.162781954847974,-0.477599125403918,-0.472331351122614,"V","Bhs","VBhs"
"25",25,"42_4_PFM",36,45,40.5,"42_4_PFM_Bh",2631.14167539,195,26,13.4930342327692,25739.0520048,58906.7702244,323606.4364099,565.35714758,8219.0024475,785.5716726,17350.139598,48.5,0.239042877033238,-0.0891380123618892,-0.132541447129993,-0.0672010464497759,-0.134447050468673,0.15099251551116,-0.311833865685127,-0.2854042766691,"V","Bh","VBh"
"26",26,"42_4_PFM",45,50.5,47.75,"42_4_PFM_BC",2397.395604,214,27,11.2027831962617,21612.4105149,57371.9127792,340013.4650362,542.1232922,8933.6983125,785.5716726,18180.289818,58.4,0.141830199133395,-0.0263761023601223,0.000304511216254522,-0.0183249368973154,0.0325482196854692,0.263214285773498,-0.208600713885572,-0.0556433342026653,"V","BC","VBC"
"27",27,"42_4_V4.1",8,16,12,"42_4_V4.1_Oa",1540.32667557,84,15,18.3372223282143,7274.0799144,24451.8668856,192817.6441125,271.0616461,3573.479325,567.3573191,11040.997926,24.9,-0.401859440092312,-0.354151304852149,-0.117103588653356,-0.23605053455044,-0.35716842354212,0.419955530917032,-0.251950997258718,-0.373314829210766,"V","Oa","VOa"
"28",28,"42_4_V4.1",16,24,20,"42_4_V4.1_E",3380.32780164,264,23,12.8042719759091,9861.9737301,48903.7337712,375304.9368677,317.52935686,4645.5231225,261.8572242,22995.161094,60.1,-0.630475663710875,-0.411407394847526,-0.216928756207837,-0.592211979866159,-0.619202075009614,-0.701367781141017,-0.290075448512916,-0.31074716294545,"V","E","VE"
"29",29,"42_4_V4.1",24,32.5,28.25,"42_4_V4.1_Bhs1",3925.73530155,214,28,18.3445574838785,11750.4367848,50015.182266,347866.4018146,348.5078307,5074.3406415,436.428707,22912.146072,61.1,-0.62088495574612,-0.481662723151638,-0.375018319143882,-0.614609571737223,-0.641839762576277,-0.571428571408483,-0.390913024594564,-0.39663084513001,"V","Bhs","VBhs"
"30",30,"42_4_V4.1",32.5,38,35.25,"42_4_V4.1_Bhs2.1",3056.6793951,170,23,17.98046703,22521.6705042,53190.749394,315099.0882333,371.74168608,5431.688574,523.7144484,22995.161094,54.7,-0.0667699114894267,-0.292025166682529,-0.272935277393157,-0.472040302196875,-0.507616221514694,-0.339495798288367,-0.214906966590755,-0.306254235574614,"V","Bhs","VBhs"
"31",31,"42_4_V4.1",38,43,40.5,"42_4_V4.1_Bhs2.2",2709.05703252,190,24,14.258194908,26228.6535375,49644.6994344,311827.0312423,394.97554146,6074.9148525,567.3573191,19259.485104,49.8,0.226297576180723,-0.254433582612574,-0.188158163720022,-0.367061590161354,-0.378643549215824,-0.192635903881245,-0.258073162894301,-0.287353588969765,"V","Bhs","VBhs"
"32",32,"42_4_V4.1",43,50,46.5,"42_4_V4.1_Bh.1",2397.395604,171,25,14.0198573333333,22521.6705042,57424.838898,305656.8666307,480.16634452,7004.019477,829.2145433,19010.440038,56.2,0.189868362850981,-0.0254779253327794,-0.100771075220912,-0.130516372680479,-0.190482195766592,0.333392857205359,-0.172463760181717,-0.0912184140785922,"V","Bh","VBh"
"33",33,"42_4_V4.1",50,56.5,53.25,"42_4_V4.1_Bh.2",2379.41513697,197,25,12.0782494262437,19304.2890036,62452.820184,315379.5502611,433.69863376,7647.2457555,872.857414,19591.545192,58.4,0.0275941240886484,0.0678578259595077,-0.0651560421644504,-0.208725389942421,-0.109459671485379,0.414177761851103,-0.140723317470044,-0.0485071377356829,"V","Bh","VBh"
"34",34,"42_4_V4.1",56.5,66,61.25,"42_4_V4.1_BC",2367.42815895,202,25,11.7199413809406,18115.2567099,63881.8253916,333983.5314385,456.93248914,7933.1241015,872.857414,22165.010874,59.7,-0.0308171838087775,0.0978224526613412,-0.0049977575564587,-0.162114593518143,-0.0714908161208134,0.421338155581995,-0.0229299606147516,-0.022401717563709,"V","BC","VBC"
"35",35,"42_4_V4.1",82,90,86,"42_4_V4.1_C.2",2475.31096113,219,28,11.3027897768493,17625.6551772,60282.8493132,358570.7025423,573.10176604,9433.985418,785.5716726,23991.341358,67.1,-0.098110094480781,-0.00917807831114159,0.0216940238961665,0.00510487263367221,0.0560493171795209,0.223452092758836,0.0114847089989483,0.0508861367707247,"V","C","VC"
"36",36,"52_2_PFM",8,10,9,"52_2_PFM_Oa",893.02986249,18,4,49.6127701383333,6154.9906968,13231.5297,61514.6714308,333.01859378,1500.8613165,1920.2863108,4233.766122,12.4,-0.127029755880726,-0.397196625944255,-0.514165286029089,0.618869710965117,-0.53431382306803,7.28954937718627,-0.505239023115003,-0.461707150138505,"L","Oa","LOa"
"37",37,"52_2_PFM",10,30,20,"52_2_PFM_E",5555.96431227,382,30,14.5444091944241,14967.8182854,55201.9419084,344267.1391245,456.93248914,3716.418498,567.3573191,21583.90572,82.9,-0.658777959154811,-0.595771892332767,-0.562969306821226,-0.642972237798993,-0.814653696056459,-0.606333795635731,-0.59458002317142,-0.421560435085937,"L","E","LE"
"38",38,"52_2_X2.1",7,12.5,9.75,"52_2_X2.1_Oa",3044.69241708,136,15,22.3874442432353,9512.2583496,27309.8773008,142147.5044233,271.0616461,1429.39173,1789.3576987,8882.607354,37.1,-0.604288899721882,-0.63507138101652,-0.67071524092836,-0.613513754683982,-0.869915184921516,1.26560742417819,-0.695539051471457,-0.527617944381929,"L","Oa","LOa"
"39",39,"52_2_X2.1",12.5,19.5,16,"52_2_X2.1_E1.1",5525.99686722,429,38,12.8811115786014,9652.1445018,47686.4330388,374089.6014139,348.5078307,2644.3747005,305.5000949,20006.620302,78.6,-0.778766340963561,-0.648912146795619,-0.52253579573737,-0.726213958229806,-0.867403786105467,-0.786876355738383,-0.622168943920647,-0.448589769621798,"L","E","LE"
"40",40,"52_2_X2.1",19.5,26,22.75,"52_2_X2.1_E1.2",4680.91491681,349,32,13.4123636584814,8533.0552842,42976.0084656,382970.8989609,410.46477838,2429.965941,261.8572242,19259.485104,70.4,-0.769106432638806,-0.62646875994747,-0.422953457764977,-0.619324833770314,-0.856157175029732,-0.784342418135126,-0.570613405413859,-0.416951315733847,"L","E","LE"
"41",41,"52_2_X2.1",26,30,28,"52_2_X2.1_E2",4692.90189483,370,36,12.6835186346757,8602.9983603,41441.1510204,395264.4845128,410.46477838,2501.4355275,174.5714828,18429.334884,75.4,-0.767808463021393,-0.640729189062776,-0.405951184498708,-0.620297184131054,-0.852304724642692,-0.856595511761204,-0.59017094650034,-0.377136648636968,"L","E","LE"
