pedon,horizon,subhorizon,top.cm,base.cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample.collected,elemental,newname,Si,Al,Fe,Mn,Mg,Ca,Na,K,Ti,P,Ba,Sr,Y,Zr,Co,Ga,Rb,Sn,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Dy,Er,Yb,Lu,Tl,Th,U
42_3_V3.1,D,2,108,123,15,2.5Y5/3,2.5Y,5,3,0,NA,NA,,ls,,,,0,0,Y,Y,42_3_V3.1_D.2,332487.734,68698.1022,21752.29667,534.3786737,5547.985314,10791.90756,18398.23166,25568.62678,2780.978901,741.9288019,522,152,27,178,18,14,131,4,6.9,29.4,65.7,7.2,27.3,5.8,1.1,5.5,5.2,2.9,2.9,0.43,0.5,11.9,3
42_4_V4.1,D,4,118,126.5,8.5,5Y5/2,5Y,5,2,0,NA,NA,,fsl,,,,0,0,Y,Y,42_4_V4.1_D.4,356327.0063,62346.96795,16646.45211,480.1663445,3377.034539,9433.985418,18843.35017,23991.34136,2367.428159,698.2859312,425,107,28,233,28,12,117,4,5.1,27.3,62.3,6.7,25,5.6,1.04,5.1,5.4,3.2,3.2,0.51,0.5,10.8,2.8
42_4_V4.1,D,9,180,184,4,,,NA,NA,,NA,NA,,,,,,NA,,Y,Y,42_4_V4.1_D.9,364881.0982,59806.51424,17066.11057,565.3571476,3075.513598,8076.063275,17878.92674,25236.56669,1881.955549,611.0001898,376,93,24,161,57,12,125,13,5.3,22.7,48.8,5.55,20.6,4.5,0.85,4.3,4.6,2.7,2.6,0.41,0.5,8.5,2.5
52_3_X3.1,D,1,105,120,15,,,NA,NA,,NA,NA,,,,,,NA,,Y,Y,52_3_X3.1_D.1,346604.3227,67427.87535,24130.36125,689.2710429,4522.814115,9148.107072,18398.23166,27644.00233,2870.881236,611.0001898,421,103,31,195,140,15,147,7,10.3,32.1,72,7.61,28.7,6.2,1.09,5.9,6.2,3.8,3.7,0.59,0.6,11.8,3.1
52_3_X3.1,D,2,160,180,20,,,NA,NA,,NA,NA,,,,,,NA,,Y,Y,52_3_X3.1_D.2,318698.3509,78859.91701,35880.79804,844.1634121,7718.93609,8933.698313,15727.52062,30300.48303,4003.650659,698.2859312,521,110,46,186,61,19,174,6,11.1,64.6,89.1,14.6,56,11.5,2,10.6,8.2,4.5,4.1,0.64,0.6,12.2,3.6
52_3_X3.1,D,3,280,300,20,,,NA,NA,,NA,NA,,,,,,NA,,Y,Y,52_3_X3.1_D.3,365675.7406,55995.83369,19584.06131,619.5694768,3557.947104,8004.593688,16024.26629,23576.26625,2151.662555,480.0715777,385,92,23,109,55,12,118,3,5.2,21.3,42.3,5.06,19.3,4.3,0.82,4,4.2,2.6,2.6,0.41,0.5,6.2,1.9
52_4_X4.1,D,3,109,111,2,10YR5/2,10YR,5,2,0,NA,NA,vgr,s, , , ,NA, ,Y,Y,52_4_X4.1_D.3,372734.0349,52026.37478,16646.45211,704.7602799,3135.817786,8290.472034,15059.84285,19591.54519,1828.014148,523.7144484,335,98,28,142,7,9,92,2,3.3,22.7,55,5.31,20.3,4.4,0.81,4.1,4.5,2.8,2.6,0.4,0.3,7.8,2.4
52_4_X4.1,D,6,134,144,10,10YR5/3,10YR,5,3,0,NA,NA,,s, , , ,NA, ,Y,Y,52_4_X4.1_D.6,371565.4432,49009.58601,12869.526,480.1663445,2231.254963,7146.95865,14763.09718,19010.44004,1348.535027,523.7144484,322,84,20,77,5,9,95,1,3.2,16.9,49.1,4.13,15.8,3.5,0.83,3.4,4,2.4,2.5,0.43,0.4,7,2.3
52_4_X4.1,D,8,155,160,5,10YR5/2,10YR,5,2,0,NA,NA,gr,s, , , ,NA, ,Y,Y,52_4_X4.1_D.8,378109.5571,51655.89195,13568.95676,433.6986338,2110.646587,6932.549891,16024.26629,20587.72546,1408.469917,480.0715777,340,88,21,111,35,9,95,2,3,19.5,52.5,4.64,17.5,3.7,0.79,3.5,3.8,2.4,2.4,0.37,0.5,6.7,2.4
52_4_X4.1,D,9,160,172,12,2.5Y6/2,2.5Y,6,2,0,NA,NA,,lfs, , , ,NA, ,Y,Y,52_4_X4.1_D.9,363992.9684,59594.80977,16996.16749,487.910963,3196.121975,10720.43798,18694.97734,21417.87568,2517.265384,698.2859312,434,116,31,251,48,12,95,3,3.3,29,70,6.96,26.5,5.6,1.08,5.4,5.7,3.4,3.5,0.57,0.4,9.7,2.9
52_4_X4.1,D,16,262,291,29,2.5Y6/2,2.5Y,6,2,0,NA,NA,,fsl, , , ,NA, ,Y,Y,52_4_X4.1_D.16,356467.2373,63246.71197,19164.40285,534.3786737,3799.163857,10648.96839,19140.09584,23161.19114,2882.868214,785.5716726,448,119,33,262,32,13,112,4,4.6,35.7,75.1,8.73,33.8,6.9,1.18,6.6,6.4,3.8,3.8,0.6,0.5,11.6,4.4
