"","pedon","orig_horizon","subdivision","horizon","top cm","base cm","thick","major_color","hue","value","chroma","minor_color","depletion","concentration","texture_modifier","texture_base","structure","consistence","boundary","frags","roots","sample collected","elemental","newname","Si","Al","Fe","Mn","Mg","Ca","Na","K","Ti","P","Ba","Sr","Y","Zr","Co","Ga","Rb","Sn","Cs","La","Ce","Pr","Nd","Sm","Eu","Gd","Dy","Er","Yb","Lu","Th","U"
"1","42_2_PFM","E1",NA,"E1",8,32,24,"5YR5/1","5YR",5,1,"5YR4/2",NA,NA,NA,"sl","2msbk","fr","cs",2,"c","Y","Y","42_2_PFM_E1",369555.4652978,45675.2405244,14338.3306005,433.69863376,1507.604705,4574.053536,8605.624488,19342.500126,5100.45914751,480.0715777,379,69,33,366,26,19,81,4,5.4,31.5,64.5,7.5,28.1,5.8,0.81,5.3,5.7,3.8,4,0.64,10.2,2.9
"2","42_2_PFM","E2",NA,"E2",32,47,15,"7.5YR4/2","7.5YR",4,2,"7.5YR3/2",NA,NA,NA,"ls","2msbk","fr",NA,15,"f","Y","Y","42_2_PFM_E2",378343.2755022,43558.1957724,16506.5659596,650.54795064,1748.8214578,6432.262785,10534.471356,19508.53017,2966.77705995,349.1429656,374,74,35,248,16,13,93,4,3.7,27.3,56.3,6.69,24.9,5.1,0.84,5,6.5,4.2,4.5,0.71,9.1,2.6
"3","42_2_V2.1","Oa",NA,"Oa",6,8,2,"5YR2.5/1","5YR",2.5,1,NA,NA,NA,NA,NA,NA,NA,"as",NA,NA,"Y","Y","42_2_V2.1_Oa",256949.9611361,32020.301874,10491.461415,3918.77694076,1326.6921404,3930.8272575,6676.77762,12203.208234,3236.4840654,916.5002847,351,57,24,205,25,11,53,8,3.9,22.9,46.6,5.34,20.7,4.3,0.61,3.6,3.7,2.4,2.7,0.42,7.3,2.3
"4","42_2_V2.1","E",1,"E.1",8,14,6,"7.5YR6/1","7.5YR",6,1,"0",NA,NA,NA,"sl","2msbk","fr","as",10,"f","Y","Y","42_2_V2.1_E.1",379511.8672847,44299.1614356,9861.9737301,929.3542152,1206.083764,3930.8272575,9199.115832,18097.274796,5010.55681236,261.8572242,393,69,34,383,41,14,75,5,4.9,37.2,76.8,8.63,31.6,6.4,0.91,5.6,5.9,3.9,4.1,0.66,11.4,3.3
"5","42_2_V2.1","E",2,"E.2",14,20,6,"7.5YR6/1","7.5YR",6,1,"0",NA,NA,NA,"sl","2msbk","fr","as",10,"f","Y","Y","42_2_V2.1_E.2",381521.8451506,46522.0584252,9372.3721974,449.18787068,1266.3879522,3716.418498,9124.929414,19674.560214,5178.37450464,218.2143535,405,72,34,417,42,15,85,5,5.9,39.6,81.4,9.26,34.3,6.6,0.94,6,6,3.8,4.1,0.67,11.9,3.3
"6","42_2_V2.1","E",3,"E.3",20,28,8,"7.5YR6/1","7.5YR",6,1,"0",NA,NA,NA,"sl","2msbk","fr","as",10,"f","Y","Y","42_2_V2.1_E.3",384887.3894842,45728.1666432,10211.6891106,511.14481836,1507.604705,4288.17519,8605.624488,19176.470082,5298.24428484,349.1429656,390,73,32,418,23,16,84,5,6.5,33.9,69.2,8.08,29.4,6.5,0.88,4.9,5.4,3.3,3.4,0.6,11,3.2
"7","42_2_V2.1","E",4,"E.4",28,32,4,"7.5YR6/1","7.5YR",6,1,"0",NA,NA,NA,"sl","2msbk","fr","as",10,"f","Y","Y","42_2_V2.1_E.4",393955.6617164,40806.0375948,9022.6568169,495.65558144,1206.083764,4359.6447765,8828.183742,17931.244752,4141.50090591,305.5000949,355,70,31,371,26,13,81,4,5.6,32.8,67.5,7.78,29.7,5.8,0.83,4.7,5.4,3.3,3.5,0.56,11.1,3
"8","42_3_PFM","Oa",NA,"Oa",5.5,8.5,3,"5YR2.5/1","5YR",2.5,1,"0",NA,NA,NA,NA,"1mgr","vfr","as",1,"f","Y","Y","42_3_PFM_Oa",231661.6349628,33449.3070816,18185.199786,480.16634452,1447.3005168,4073.7664305,6973.523292,11622.10308,2265.53884578,1963.9291815,243,51,15,181,67,10,58,8,4.3,19.3,39.5,4.4,16.8,3.4,0.57,2.7,2.8,1.7,1.8,0.28,6.4,2
"9","42_3_PFM","Bhs1",NA,"Bhs1",8.5,30.5,22,"7.5YR2.5/2","7.5YR",2.5,2,"0",NA,NA,NA,"sl","2msbk","fr","cs",2,"0","Y","Y","42_3_PFM_Bhs1",306825.4584132,46469.1323064,31474.384245,1068.75734748,1869.4298342,5574.627747,9421.675086,16769.034444,3170.55568629,2618.572242,339,71,20,230,15,16,77,3,5.1,24.1,51.6,5.68,20.9,4.3,0.8,3.8,3.8,2.3,2.4,0.38,8.4,2.8
"10","42_3_PFM","Bhs2",NA,"Bhs2",30.5,41.5,11,"10YR2/2","10YR",2,2,"0",NA,NA,NA,"sl","2msbk","fr","as",2,"0","Y","Y","42_3_PFM_Bhs2",305189.4299177,53190.749394,28746.6042771,1765.77300888,1809.125646,5360.2189875,9940.980012,16270.944312,3566.12596095,2182.143535,355,78,25,290,54,15,76,3,5.5,24.7,52.4,5.84,22.5,4.6,0.88,4.1,4.5,2.8,2.7,0.42,8.9,3
