"","pedon","horizon","subdivision","top.cm","base.cm","thick","major_color","hue","value","chroma","minor_color","depletion","concentration","texture_modifier","texture_base","structure","consistence","boundry","frags","roots","sample.collected","elemental","newname","Si","Al","Fe","Mn","Mg","Ca","Na","K","Ti","P","Ba","Sr","Y","Zr","Co","Ga","Rb","Sn","Cs","La","Ce","Pr","Nd","Sm","Eu","Gd","Dy","Er","Yb","Lu","Th","U"
"1","BR2.1","A",NA,10,18,8,"N2.5/1","N",2.5,1,"",NA,NA,"","vfsl","2fsbk","fr","aw",5,"c","Y","Y","BR2.1_A",224696.8279391,55466.5725024,19933.7766885,356.25244916,2231.2549634,1786.7396625,10905.403446,17350.139598,5472.05546613,829.2145433,712,70,14,254,3,16,70,5,3.7,15.9,28.5,3.23,12.5,2.2,0.48,2.2,2.7,2,2.4,0.43,2.9,2
"2","BR2.1","E",1,18,29,11,"7.5YR5/1","7.5YR",5,1,"7.5YR5/2",NA,NA,"gr","vfsl","2msbk","fr","cw",30,"f","Y","Y","BR2.1_E.1",328047.0851834,71609.0387364,35461.1395827,596.33562142,2834.2968454,2072.6180085,17137.062558,20753.7555,7989.32085033,218.2143535,859,88,17,340,5,19,83,2,3.9,10.7,21.7,2.49,10.1,2.1,0.42,2.1,3.1,2.3,3,0.51,2.9,1.6
"3","BR2.1","E",2,29,39,10,"7.5YR5/1","7.5YR",5,1,"7.5YR5/2",NA,NA,"gr","vfsl","2msbk","fr","cw",30,"f","Y","Y","BR2.1_E.2",320568.0977754,73884.8618448,41406.3010512,766.71722754,4703.7266796,3001.722633,15504.961362,21915.965808,7725.60733389,436.428707,899,95,23,314,7,22,91,3,3.9,14.6,34.9,3.66,14,3,0.63,3.2,4,3.1,3.6,0.58,4.1,1.9
"4","BR2.1","Bhs",NA,39,48,9,"5YR3/2","5YR",3,2,"5YR4/1",NA,NA,"","fsl","2msbk","fr","cs",8,"0","Y","Y","BR2.1_Bhs",292288.1766389,74678.7536268,58052.753163,820.92955676,8080.7612188,3716.418498,13205.182404,20421.695412,6413.0332407,1920.2863108,966,93,22,320,16,24,92,3,3.8,21.8,64.5,5.22,19.9,4.1,0.84,3.9,4.4,2.9,3,0.5,7,2.4
"5","BR2.1","CB",NA,48,62,14,"10YR4/3","10YR",4,3,"2.5Y4/2",NA,NA,"","vfsl","1tkpl","fr","cs",10,"0","Y","Y","BR2.1_CB",298458.3412505,70603.4424792,64557.4592403,1138.45891362,8141.065407,4645.5231225,14911.470018,17350.139598,8211.0799437,1571.1433452,776,91,23,305,15,19,72,2,2.7,23.1,63.9,5.58,22.1,4.6,0.92,4.2,4.6,3,3.4,0.53,6.6,2.3
"6","BR2.1","C2",NA,62,67,5,"2.5Y4/3","2.5Y",4,3,"",NA,NA,"vgr","sl","1mpl","fr","",40,"0","Y","Y","BR2.1_C2",301122.7305146,72667.5611124,62389.2238812,1246.88357206,8020.4570306,5789.0365065,15059.842854,17350.139598,7653.68546577,1265.6432503,552,94,27,306,19,20,71,2,2.1,35.1,70.5,7.65,29.5,5.6,1.18,5.3,5.3,3.5,3.6,0.6,6.6,2.1
"7","BR3.1","A",NA,5,10,5,"10YR2/1","10YR",2,1,"",NA,NA,"","vfsl","1fsbk","vfr","aw",0,"m","Y","Y","BR3.1_A",259006.6826733,58112.8784424,33922.3919085,518.88943682,2894.6010336,2001.148422,12982.62315,17682.199686,6311.14392753,741.9288019,981,70,14,252,5,18,72,6,3.5,10.3,24.4,2.45,9.4,2.1,0.41,2,2.7,2,2.5,0.4,2.8,1.5
"8","BR3.1","E",NA,10,16,6,"7.5YR4/2","7.5YR",4,2,"7.5YR5/1",NA,NA,"","fsl","1msbk","fr","as",5,"c","Y","Y","BR3.1_E",310985.6451589,72191.2260432,39447.8949204,619.5694768,3497.6429156,1858.209249,15801.707034,22331.040918,7875.44455914,523.7144484,1220,86,17,320,7,25,99,3,5.2,12.4,28.3,2.98,11.4,2.4,0.49,2.4,3.5,2.6,3.2,0.54,3.7,1.8
"9","BR3.1","Bhs1",NA,16,25,9,"5YR3/3","5YR",3,3,"",NA,NA,"","fsl","2msbk","fr","cs",10,"f","Y","Y","BR3.1_Bhs1",292241.4329676,67427.8753512,54135.9409014,712.50489832,3738.8596684,2001.148422,13724.48733,20338.68039,8037.26876241,829.2145433,1025,80,18,316,7,23,95,3,5.5,13.6,31.4,3.14,11.8,2.7,0.56,2.5,3.4,2.5,2.9,0.48,4.4,2.1
"10","BR3.1","Bhs2",NA,25,38,13,"7.5YR4/3","7.5YR",4,3,"",NA,NA,"gr","fsl","2msbk","fr","cs",15,"f","Y","Y","BR3.1_Bhs2",308788.6926078,68486.3977272,51967.7055423,720.24951678,3196.1219746,2144.087595,14688.910764,19923.60528,8217.07343271,480.0715777,908,81,19,327,7,21,89,3,4.7,14.9,36.7,3.58,13.6,2.9,0.68,2.8,3.7,2.7,3,0.51,4.5,2
"11","BR3.1","Bhs3",NA,38,45,7,"7.5YR3/3","7.5YR",3,3,"",NA,NA,"","vfsl","2msbk","fr","cs",10,"f","Y","Y","BR3.1_Bhs3",291633.7652407,68592.2499648,62109.4515768,813.1849383,4341.9015504,2715.844287,13353.55524,18014.259774,7755.57477894,829.2145433,753,82,21,378,12,21,83,3,4.7,21.5,65.3,5.08,19.7,3.8,0.89,3.7,4.2,2.8,3,0.48,6.6,2.5
"12","BR3.1","CB",NA,69,73,4,"10YR4/3","10YR",4,3,"",NA,NA,"gr","ls","m","fr","",30,"0","Y","Y","BR3.1_CB",320053.9173911,68539.323846,55534.8024234,1091.99120286,7236.502584,5217.2798145,16469.384796,14693.658894,6796.61653734,1003.7860261,536,91,23,297,19,18,60,2,2,24.6,70.1,5.94,23.1,4.7,1.04,4.6,5.1,3.3,3.4,0.52,6,2
