"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Cax","Ca","tau_Ca"
"28","42_4_V4.1",8,16,12,"42_4_V4.1_Oa",1540.32667557,84,15,18.3372223282143,500.785,3573.479325,-0.447254410262208
"29","42_4_V4.1",16,24,20,"42_4_V4.1_E",3380.32780164,264,23,12.8042719759091,19.435,4645.5231225,-0.620795180345016
"30","42_4_V4.1",24,32.5,28.25,"42_4_V4.1_Bhs1",3925.73530155,214,28,18.3445574838785,28.965,5074.3406415,-0.643884188051409
"31","42_4_V4.1",32.5,38,35.25,"42_4_V4.1_Bhs2.1",3056.6793951,170,23,17.98046703,27.755,5431.688574,-0.510132218443766
"32","42_4_V4.1",38,43,40.5,"42_4_V4.1_Bhs2.2",2709.05703252,190,24,14.258194908,25.145,6074.9148525,-0.381215438424862
"33","42_4_V4.1",43,50,46.5,"42_4_V4.1_Bh.1",2397.395604,171,25,14.0198573333333,16.205,7004.019477,-0.192355154010167
"34","42_4_V4.1",50,56.5,53.25,"42_4_V4.1_Bh.2",2379.41513697,197,25,12.0782494262437,9.295,7647.2457555,-0.110542096794856
"35","42_4_V4.1",56.5,66,61.25,"42_4_V4.1_BC",2367.42815895,202,25,11.7199413809406,6.065,7933.1241015,-0.0722006762122701
"36","42_4_V4.1",82,90,86,"42_4_V4.1_C.2",2475.31096113,219,28,11.3027897768493,2.755,9433.985418,0.0557409198543271
"37","42_4_V4.1",118,126.5,122.25,"42_4_V4.1_D.4",2367.42815895,233,28,10.1606358753219,6.665,9433.985418,0.103392998204791
