"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Cax","Ca","tau_Ca"
"45","52_3_X3.1",4,9,6.5,"52_3_X3.1_Oa",2942.80310391,242,24,12.1603434045868,74.365,3930.8272575,-0.636882947609621
"46","52_3_X3.1",9,15,12,"52_3_X3.1_E",3955.7027466,368,38,10.7491922461957,7.545,4574.053536,-0.680125669897851
"47","52_3_X3.1",15,20,17.5,"52_3_X3.1_Bhs1",4381.24046631,215,26,20.377862634,17.745,4574.053536,-0.711839267565935
"48","52_3_X3.1",20,28,24,"52_3_X3.1_Bhs2.1",3632.05434006,260,28,13.9694397694615,15.915,4931.4014685,-0.624998563074177
"49","52_3_X3.1",28,36,32,"52_3_X3.1_Bhs2.2",3703.97620818,280,28,13.2284864577857,9.405,6718.141131,-0.498129941495085
"50","52_3_X3.1",36,46,41,"52_3_X3.1_Bhs2.3",3476.2236258,265,30,13.1178250030189,11.375,8147.532861,-0.351469472522014
"51","52_3_X3.1",46,55,50.5,"52_3_X3.1_BC.1",3242.47755441,287,31,11.2978312000348,6.855,8719.289553,-0.25547152078672
"52","52_3_X3.1",55,75,65,"52_3_X3.1_BC.2",3650.03480709,356,41,10.2529067614888,3.975,10148.681283,-0.229874974776269
"53","52_3_X3.1",105,180,142.5,"52_3_X3.1_D.1",2870.88123579,195,31,14.7224678758462,79.715,9148.107072,-0.124746560104889
"54","52_3_X3.1",280,300,290,"52_3_X3.1_D.3",2151.66255459,109,23,19.7400234366055,45.785,8004.593688,0.0249263718922108
