"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Cax","Ca","tau_Ca"
"91","86_4_W4.1",8,15,11.5,"86_4_W4.1_Oa",863.06241744,36,8,23.97395604,857.925,2715.844287,-0.403509677314545
"92","86_4_W4.1",15,19.5,17.25,"86_4_W4.1_E",3440.26269174,316,34,10.8869072523418,40.485,4788.4622955,-0.617584230964525
"93","86_4_W4.1",19.5,24,21.75,"86_4_W4.1_Bhs",3865.80041145,291,25,13.2845374963918,93.155,6503.7323715,-0.540509557189133
"94","86_4_W4.1",24,33,28.5,"86_4_W4.1_Bs.1",3350.36035659,299,29,11.205218583913,20.685,7718.715342,-0.36334103077423
"95","86_4_W4.1",33,43,38,"86_4_W4.1_Bs.2",3146.58173025,243,27,12.9488960092593,17.655,7432.836996,-0.347017469763314
"96","86_4_W4.1",43,53,48,"86_4_W4.1_Bs.3",3074.65986213,229,28,13.4264622800437,16.185,7146.95865,-0.357373934436275
"97","86_4_W4.1",53,62,57.5,"86_4_W4.1_BC.1",3104.62730718,227,26,13.676772278326,13.405,7647.2457555,-0.318678039303495
"98","86_4_W4.1",62,82,72,"86_4_W4.1_BC.2",3110.62079619,265,34,11.7381916837359,10.475,8433.411207,-0.249699553754542
"99","86_4_W4.1",82,92,87,"86_4_W4.1_D.1",2739.02447757,232,32,11.8061399895259,10.205,8433.411207,-0.147880931866414
"100","86_4_W4.1",100,110,105,"86_4_W4.1_D.2",2894.85519183,258,34,11.2203689605814,13.695,9076.6374855,-0.132516657282127
"101","86_4_W4.1",125,135,130,"86_4_W4.1_D.4",2385.40862598,203,29,11.7507814087685,6.035,8719.289553,0.0121301939132865
