"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce"
"12","42_3_V3.1",9,13,11,"42_3_V3.1_Oa",1851.98810409,93,13,19.9138505816129,10701.2906433,28050.842964,163789.8242352,960.33268904,2644.3747005,2225.7864057,9131.65242,27.4,-0.268126557252608,-0.383774984476606,-0.376229918982312,1.25109029726737,-0.604356928120519,3.63314840521024,-0.485428490948341,-0.42644472574263
"13","42_3_V3.1",13,21,17,"42_3_V3.1_Bhs1",3644.04131808,260,27,14.0155435310769,19444.1751558,46574.984544,323185.7433682,1742.5391535,4931.4014685,1658.4290866,17765.214708,55.3,-0.32415943757647,-0.480002773643491,-0.374474933202142,1.07591061276414,-0.625021962324751,0.754464285796525,-0.491229730748355,-0.411692010425011
"14","42_3_V3.1",21,28,24.5,"42_3_V3.1_Bhs2.1",3973.68321363,288,32,13.7975111584375,25948.8812331,50385.6650976,316033.9616593,1827.72995656,4716.992709,1963.9291815,17599.184664,57.7,-0.172889720885278,-0.484123963782447,-0.439060104122321,0.996770651947714,-0.671079662145443,0.90530058186048,-0.537795825929575,-0.437081555233515
"15","42_3_V3.1",28,35,31.5,"42_3_V3.1_Bhs2.2",3098.63381817,174,22,17.8082403343103,32943.1888431,56736.7993536,282051.3126242,1587.6467843,6003.445266,2836.7865955,16353.959334,48.5,0.346583848295378,-0.255051626064401,-0.358001985750485,1.22429829163913,-0.463154813440127,2.52928985924253,-0.449208519948978,-0.393215623709351
"16","42_3_V3.1",35,45,40,"42_3_V3.1_Bhs3.1",2733.03098856,186,26,14.6937149922581,31264.5550167,57848.2478484,291867.4835972,1355.3082305,6575.201958,2662.2151127,17184.109554,56.5,0.448924371238935,-0.138853078170206,-0.246788445263557,1.15279619101466,-0.333372377466224,2.75516917310835,-0.343828998535262,-0.198567777914723
"17","42_3_V3.1",45,55,50,"42_3_V3.1_Bhs3.2",2840.91379074,250,30,11.36365516296,27347.7427551,57160.208304,311032.3888302,1091.99120286,7647.2457555,2269.4292764,17433.15462,60.5,0.219274392312639,-0.18140827887721,-0.227811415766349,0.66867008917997,-0.254125505442395,2.07956600376099,-0.35959828879244,-0.174417977562875
"18","42_3_V3.1",55,62,58.5,"42_3_V3.1_Bhs3.3",2751.01145559,233,31,11.806916118412,23780.645874,58165.8045612,320100.6610624,960.33268904,8647.8199665,1963.9291815,18595.364928,60.4,0.0948869223381466,-0.139785138954228,-0.179327297233899,0.515439873323783,-0.128970216422192,1.75210084046514,-0.294581470181825,-0.148847366010699
"19","42_3_V3.1",62,67,64.5,"42_3_V3.1_BC.1",2343.45420291,160,31,14.6465887681875,19863.8336124,58165.8045612,332487.7339569,751.22799062,8433.411207,1745.714828,20421.695412,58.5,0.073605232799093,0.00981744557547182,0.000679431880666215,0.391632899100627,-0.00283834334211475,1.87175739874623,-0.0905687354323921,-0.0322519540842924
"20","42_3_V3.1",67,77,72,"42_3_V3.1_BC.2",2367.42815895,229,31,10.3381142312227,20353.4351451,57213.1344228,340434.1580779,604.08023988,8862.228726,1440.2147331,19757.575236,57,0.0889274112418759,-0.0167803882958494,0.0142199204641442,0.107712910264151,0.0372535027118839,1.34520795671029,-0.129053672757719,-0.0666147052115815
"21","42_3_V3.1",77,82,79.5,"42_3_V3.1_BC.3",2313.48675786,193,32,11.98697802,17345.8828728,59965.2926004,352026.5885603,487.91096298,9219.5766585,1091.0717675,21915.965808,58.4,-0.0503416020756179,0.0545435979064122,0.073208898464346,-0.0844481276762528,0.104238096078139,0.818097705488627,-0.0113828209515272,-0.021392056168565
