"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Cax","Ca","tau_Ca"
"12","42_3_V3.1",13,21,17,"42_3_V3.1_Bhs1",3644.04131808,260,27,14.0155435310769,5.385,4931.4014685,-0.625431431467707
"13","42_3_V3.1",21,28,24.5,"42_3_V3.1_Bhs2.1",3973.68321363,288,32,13.7975111584375,7.745,4716.992709,-0.671619728279492
"14","42_3_V3.1",28,35,31.5,"42_3_V3.1_Bhs2.2",3098.63381817,174,22,17.8082403343103,9.675,6003.445266,-0.464019979515578
"15","42_3_V3.1",35,45,40,"42_3_V3.1_Bhs3.1",2733.03098856,186,26,14.6937149922581,8.045,6575.201958,-0.334188020735821
"16","42_3_V3.1",45,55,50,"42_3_V3.1_Bhs3.2",2840.91379074,250,30,11.36365516296,6.905,7647.2457555,-0.254798984960327
"17","42_3_V3.1",55,62,58.5,"42_3_V3.1_Bhs3.3",2751.01145559,233,31,11.806916118412,5.635,8647.8199665,-0.129537787538321
"18","42_3_V3.1",62,67,64.5,"42_3_V3.1_BC.1",2343.45420291,160,31,14.6465887681875,5.045,8433.411207,-0.00343486122015479
"19","42_3_V3.1",67,77,72,"42_3_V3.1_BC.2",2367.42815895,229,31,10.3381142312227,4.765,8862.228726,0.0366957972979036
"20","42_3_V3.1",77,82,79.5,"42_3_V3.1_BC.3",2313.48675786,193,32,11.98697802,3.175,9219.5766585,0.103857823091112
"21","42_3_V3.1",108,123,115.5,"42_3_V3.1_D.2",2780.97890064,178,27,15.6234769698876,3.115,10791.9075615,0.0749639833531011
"22","42_3_V3.1",270,275,272.5,"42_3_V3.1_D.10",2679.08958747,151,27,17.7423151488079,9.245,8933.6983125,-0.0769756675458562
