"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Cax","Ca","tau_Ca"
"57","52_4_X4.1",9,16,12.5,"52_4_X4.1_Oa",2589.18725232,241,24,10.7435155697925,32.185,4002.296844,-0.575128063690224
"58","52_4_X4.1",16,26,21,"52_4_X4.1_E",2966.77705995,264,26,11.23779189375,5.225,4288.17519,-0.599984448487153
"59","52_4_X4.1",26,31,28.5,"52_4_X4.1_Bhs",2984.75752698,167,24,17.8727995627545,10.775,5217.2798145,-0.516656388589111
"60","52_4_X4.1",31,36,33.5,"52_4_X4.1_Bs1",2822.93332371,231,24,12.2204905788312,10.835,5860.506093,-0.425817975981419
"61","52_4_X4.1",36,45,40.5,"52_4_X4.1_Bs2.1",2259.54535677,151,21,14.9638765349007,13.315,5717.56692,-0.300486020410654
"62","52_4_X4.1",45,54.5,49.75,"52_4_X4.1_Bs2.2",2475.31096113,222,23,11.1500493744595,9.445,6575.201958,-0.265022909720318
"63","52_4_X4.1",54.5,62,58.25,"52_4_X4.1_BC.1",2469.31747212,201,24,12.2851615528358,5.155,7289.897823,-0.182559672481714
"64","52_4_X4.1",62,69,65.5,"52_4_X4.1_BC.2",2589.18725232,191,31,13.5559542006283,5.185,7218.4282365,-0.228055847948763
"65","52_4_X4.1",109,111,110,"52_4_X4.1_D.3",1828.01414805,142,28,12.8733390707746,3.815,8290.472034,0.256083690300288
"66","52_4_X4.1",134,144,139,"52_4_X4.1_D.6",1348.53502725,77,20,17.5134419123377,4.445,7146.95865,0.467599692342938
"67","52_4_X4.1",155,160,157.5,"52_4_X4.1_D.8",1408.46991735,111,21,12.6889181743243,7.315,6932.5498905,0.362403332499226
"68","52_4_X4.1",160,172,166,"52_4_X4.1_D.9",2517.2653842,251,31,10.0289457537849,4.545,10720.437975,0.17955481610829
"69","52_4_X4.1",262,291,276.5,"52_4_X4.1_D.16",2882.86821381,262,33,11.0033137931679,177.335,10648.9683885,0.00648754253380934
