X,Pedon,TDepth,BDepth,Depth,Name,Ti,Zr,Y,Ratio,Fe,Al,Si,Mn,Ca,P,K,Ce,tau_Fe,tau_Al,tau_Si,tau_Mn,tau_Ca,tau_P,tau_K,tau_Ce,LV,Hor,Cat
1,42_2_PFM,8,32,20,42_2_PFM_E1,5100.459148,366,33,13.93568073,14338.3306,45675.24052,369555.4653,433.6986338,4574.053536,480.0715777,19342.50013,64.5,-0.643936597,-0.635663091,-0.488970264,-0.630862491,-0.75150896,-0.637149572,-0.604234538,-0.509754801,L,E,LE
3,42_2_V2.1,6,8,7,42_2_V2.1_Oa,3236.484065,205,24,15.78772715,10491.46142,32020.30187,256949.9611,3918.776941,3930.827258,916.5002847,12203.20823,46.6,-0.589417404,-0.597483628,-0.440047872,4.256376528,-0.663465765,0.091666667,-0.606508726,-0.441818612,L,Oa,LOa
4,42_2_V2.1,8,14,11,42_2_V2.1_E.1,5010.556812,383,34,13.08239377,9861.97373,44299.16144,379511.8673,929.3542152,3930.827258,261.8572242,18097.2748,76.8,-0.750703677,-0.640299439,-0.465786098,-0.194798308,-0.782621427,-0.798530417,-0.623069095,-0.405792489,L,E,LE
5,42_2_V2.1,14,20,17,42_2_V2.1_E.2,5178.374505,417,34,12.41816428,9372.372197,46522.05843,381521.8452,449.1878707,3716.418498,218.2143535,19674.56021,81.4,-0.770758051,-0.634491849,-0.480360962,-0.623431523,-0.801138861,-0.837549603,-0.603497314,-0.390612058,L,E,LE
6,42_2_V2.1,20,28,24,42_2_V2.1_E.3,5298.244285,418,32,12.67522556,10211.68911,45728.16664,384887.3895,511.1448184,4288.17519,349.1429656,19176.47008,69.2,-0.75587985,-0.648857488,-0.487637283,-0.581185817,-0.775736133,-0.745959922,-0.6222789,-0.493666078,L,E,LE
7,42_2_V2.1,28,32,30,42_2_V2.1_E.4,4141.500906,371,31,11.16307522,9022.656817,40806.03759,393955.6617,495.6555814,4359.644777,305.5000949,17931.24475,67.5,-0.724059975,-0.599134884,-0.329088244,-0.48044487,-0.708316335,-0.715629522,-0.548157337,-0.368157376,L,E,LE
8,42_3_PFM,5.5,8.5,7,42_3_PFM_Oa,2265.538846,181,15,12.5167892,18185.19979,33449.30708,231661.635,480.1663445,4073.766431,1963.929182,11622.10308,39.5,0.016680714,-0.399314411,-0.278795513,-0.079911505,-0.50175451,2.341836735,-0.464637723,-0.324090594,L,Oa,LOa
9,42_3_PFM,8.5,30.5,19.5,42_3_PFM_Bhs1,3170.555686,230,20,13.78502472,31474.38425,46469.13231,306825.4584,1068.757347,5574.627747,2618.572242,16769.03444,51.6,0.257360691,-0.403705535,-0.317454163,0.463366554,-0.512809006,2.183904942,-0.44804048,-0.369075744,L,Bhs,LBhs
10,42_3_PFM,30.5,41.5,36,42_3_PFM_Bhs2,3566.125961,290,25,12.29698607,28746.60428,53190.74939,305189.4299,1765.773009,5360.218988,2182.143535,16270.94431,52.4,0.021005057,-0.393164429,-0.396400843,1.149550198,-0.583509962,1.358943578,-0.523842492,-0.430363885,L,Bhs,LBhs
11,42_3_PFM,41.5,60,50.75,42_3_PFM_Bhs3,3398.308269,271,26,12.53988291,30914.83964,55096.08967,295092.7969,1332.074375,5574.627747,2487.64363,15357.77907,50.8,0.152238142,-0.340386395,-0.387548571,0.701669044,-0.545460255,1.821995465,-0.528371327,-0.420486113,L,Bhs,LBhs
12,42_3_V3.1,9,13,11,42_3_V3.1_Oa,1851.988104,93,13,19.91385058,10701.29064,28050.84296,163789.8242,960.332689,2644.374701,2225.786406,9131.65242,27.4,-0.268126557,-0.383774984,-0.376229919,1.251090297,-0.604356928,3.633148405,-0.485428491,-0.426444726,L,Oa,LOa
13,42_3_V3.1,13,21,17,42_3_V3.1_Bhs1,3644.041318,260,27,14.01554353,19444.17516,46574.98454,323185.7434,1742.539154,4931.401469,1658.429087,17765.21471,55.3,-0.324159438,-0.480002774,-0.374474933,1.075910613,-0.625021962,0.754464286,-0.491229731,-0.41169201,L,Bhs,LBhs
14,42_3_V3.1,21,28,24.5,42_3_V3.1_Bhs2.1,3973.683214,288,32,13.79751116,25948.88123,50385.6651,316033.9617,1827.729957,4716.992709,1963.929182,17599.18466,57.7,-0.172889721,-0.484123964,-0.439060104,0.996770652,-0.671079662,0.905300582,-0.537795826,-0.437081555,L,Bhs,LBhs
15,42_3_V3.1,28,35,31.5,42_3_V3.1_Bhs2.2,3098.633818,174,22,17.80824033,32943.18884,56736.79935,282051.3126,1587.646784,6003.445266,2836.786596,16353.95933,48.5,0.346583848,-0.255051626,-0.358001986,1.224298292,-0.463154813,2.529289859,-0.44920852,-0.393215624,L,Bhs,LBhs
16,42_3_V3.1,35,45,40,42_3_V3.1_Bhs3.1,2733.030989,186,26,14.69371499,31264.55502,57848.24785,291867.4836,1355.308231,6575.201958,2662.215113,17184.10955,56.5,0.448924371,-0.138853078,-0.246788445,1.152796191,-0.333372377,2.755169173,-0.343828999,-0.198567778,L,Bhs,LBhs
17,42_3_V3.1,45,55,50,42_3_V3.1_Bhs3.2,2840.913791,250,30,11.36365516,27347.74276,57160.2083,311032.3888,1091.991203,7647.245756,2269.429276,17433.15462,60.5,0.219274392,-0.181408279,-0.227811416,0.668670089,-0.254125505,2.079566004,-0.359598289,-0.174417978,L,Bhs,LBhs
