,Pedon,variable,Cat,N,mean,sd,se
1,42_2_PFM,Ti,LE,2,4033.618104,1508.741073,1066.841044
2,42_2_PFM,Zr,LE,2,307,83.43860018,59
3,42_2_PFM,Y,LE,2,34,1.414213562,1
4,42_2_PFM,Ratio,LE,2,12.94924573,1.395029755,0.986435
5,42_2_PFM,Fe,LE,2,15422.44828,1533.173926,1084.11768
6,42_2_PFM,Al,LE,2,44616.71815,1496.976699,1058.522375
7,42_2_PFM,Si,LE,2,373949.3704,6213.920184,4393.9051
8,42_2_PFM,Mn,LE,2,542.1232922,153.3356224,108.4246584
9,42_2_PFM,Ca,LE,2,5503.158161,1313.952361,929.1046245
10,42_2_PFM,P,LE,2,414.6072717,92.58050947,65.46430605
11,42_2_PFM,K,LE,2,19425.51515,117.4009672,83.01502
12,42_2_PFM,Ce,LE,2,60.4,5.798275606,4.1
13,42_2_PFM,tau_Fe,LE,2,-0.46961378,0.246529692,0.174322817
14,42_2_PFM,tau_Al,LE,2,-0.519165003,0.164753177,0.116498089
15,42_2_PFM,tau_Si,LE,2,-0.294760239,0.274654452,0.194210026
16,42_2_PFM,tau_Mn,LE,2,-0.339467579,0.412094637,0.291394913
17,42_2_PFM,tau_Ca,LE,2,-0.575376816,0.249088467,0.176132144
18,42_2_PFM,tau_P,LE,2,-0.591734959,0.064225962,0.045414613
19,42_2_PFM,tau_K,LE,2,-0.458998719,0.205394466,0.14523582
20,42_2_PFM,tau_Ce,LE,2,-0.387039568,0.173545547,0.122715233
21,42_2_V2.1,Ti,LE,4,4907.169127,523.9048814,261.9524407
22,42_2_V2.1,Zr,LE,4,397.25,23.89386253,11.94693127
23,42_2_V2.1,Y,LE,4,32.75,1.5,0.75
24,42_2_V2.1,Ratio,LE,4,12.33471471,0.827581726,0.413790863
25,42_2_V2.1,Fe,LE,4,9617.172964,524.9614994,262.4807497
26,42_2_V2.1,Al,LE,4,44338.85603,2528.434198,1264.217099
27,42_2_V2.1,Si,LE,4,384969.1909,6388.268471,3194.134235
28,42_2_V2.1,Mn,LE,4,596.3356214,223.5678776,111.7839388
29,42_2_V2.1,Ca,LE,4,4073.766431,303.2197757,151.6098878
30,42_2_V2.1,P,LE,4,283.6786596,56.3427038,28.1713519
31,42_2_V2.1,K,LE,4,18719.88746,842.5104543,421.2552272
32,42_2_V2.1,Ce,LE,4,73.725,6.521439003,3.260719501
33,42_2_V2.1,tau_Fe,LE,4,-0.750350388,0.019479547,0.009739774
34,42_2_V2.1,tau_Al,LE,4,-0.630695915,0.02185237,0.010926185
35,42_2_V2.1,tau_Si,LE,4,-0.440718147,0.074972429,0.037486215
36,42_2_V2.1,tau_Mn,LE,4,-0.46996513,0.193001364,0.096500682
37,42_2_V2.1,tau_Ca,LE,4,-0.766953189,0.040536299,0.020268149
38,42_2_V2.1,tau_P,LE,4,-0.774417366,0.054261574,0.027130787
39,42_2_V2.1,tau_K,LE,4,-0.599250662,0.035242869,0.017621434
40,42_2_V2.1,tau_Ce,LE,4,-0.414557,0.054958615,0.027479308
41,42_3_PFM,Ti,LBhs,3,3378.329972,198.540449,114.6273817
42,42_3_PFM,Zr,LBhs,3,263.6666667,30.66485502,17.7043623
43,42_3_PFM,Y,LBhs,3,23.66666667,3.214550254,1.855921454
44,42_3_PFM,Ratio,LBhs,3,12.87396457,0.798293599,0.460895025
45,42_3_PFM,Fe,LBhs,3,30378.60939,1440.782097,831.8359317
46,42_3_PFM,Al,LBhs,3,51585.32379,4532.013001,2616.558926
47,42_3_PFM,Si,LBhs,3,302369.2284,6354.446384,3668.74133
48,42_3_PFM,Mn,LBhs,3,1388.868244,351.9614551,203.2050409
49,42_3_PFM,Ca,LBhs,3,5503.158161,123.7889547,71.46958633
50,42_3_PFM,P,LBhs,3,2429.453136,223.9578181,129.3021066
51,42_3_PFM,K,LBhs,3,16132.58594,715.7287955,413.2262128
52,42_3_PFM,Ce,LBhs,3,51.6,0.8,0.461880215
53,42_3_PFM,tau_Fe,LBhs,3,0.14353463,0.118417945,0.068368633
54,42_3_PFM,tau_Al,LBhs,3,-0.379085453,0.033926266,0.019587339
55,42_3_PFM,tau_Si,LBhs,3,-0.367134526,0.043251526,0.02497128
56,42_3_PFM,tau_Mn,LBhs,3,0.771528599,0.348385227,0.201140305
57,42_3_PFM,tau_Ca,LBhs,3,-0.547259741,0.035384812,0.020429431
58,42_3_PFM,tau_P,LBhs,3,1.788281328,0.413512751,0.238741698
59,42_3_PFM,tau_K,LBhs,3,-0.500084766,0.045128521,0.026054964
60,42_3_PFM,tau_Ce,LBhs,3,-0.406641914,0.032906009,0.018998293
