"","Pedon","variable","Cat","N","mean","sd","se"
"1","42_2_PFM","Ti","LE",1,5100.459148,NA,NA
"2","42_2_PFM","Zr","LE",1,366,NA,NA
"3","42_2_PFM","Y","LE",1,33,NA,NA
"4","42_2_PFM","Ratio","LE",1,13.93568073,NA,NA
"5","42_2_PFM","Fe","LE",1,14338.3306,NA,NA
"6","42_2_PFM","Al","LE",1,45675.24052,NA,NA
"7","42_2_PFM","Si","LE",1,369555.4653,NA,NA
"8","42_2_PFM","Mn","LE",1,433.6986338,NA,NA
"9","42_2_PFM","Ca","LE",1,4574.053536,NA,NA
"10","42_2_PFM","P","LE",1,480.0715777,NA,NA
"11","42_2_PFM","K","LE",1,19342.50013,NA,NA
"12","42_2_PFM","Ce","LE",1,64.5,NA,NA
"13","42_2_PFM","tau_Fe","LE",1,-0.643936597,NA,NA
"14","42_2_PFM","tau_Al","LE",1,-0.635663091,NA,NA
"15","42_2_PFM","tau_Si","LE",1,-0.488970264,NA,NA
"16","42_2_PFM","tau_Mn","LE",1,-0.630862491,NA,NA
"17","42_2_PFM","tau_Ca","LE",1,-0.75150896,NA,NA
"18","42_2_PFM","tau_P","LE",1,-0.637149572,NA,NA
"19","42_2_PFM","tau_K","LE",1,-0.604234538,NA,NA
"20","42_2_PFM","tau_Ce","LE",1,-0.509754801,NA,NA
"21","42_2_V2.1","Ti","LE",4,4907.169127,523.904881417677,261.952440708839
"22","42_2_V2.1","Zr","LE",4,397.25,23.8938625313419,11.946931265671
"23","42_2_V2.1","Y","LE",4,32.75,1.5,0.75
"24","42_2_V2.1","Ratio","LE",4,12.3347147075,0.827581726274582,0.413790863137291
"25","42_2_V2.1","Fe","LE",4,9617.1729635,524.961499368095,262.480749684047
"26","42_2_V2.1","Al","LE",4,44338.856025,2528.43419800369,1264.21709900184
"27","42_2_V2.1","Si","LE",4,384969.190925,6388.26847063481,3194.1342353174
"28","42_2_V2.1","Mn","LE",4,596.335621425,223.567877629133,111.783938814567
"29","42_2_V2.1","Ca","LE",4,4073.76643075,303.219775655059,151.609887827529
"30","42_2_V2.1","P","LE",4,283.67865955,56.3427038005946,28.1713519002973
"31","42_2_V2.1","K","LE",4,18719.88746,842.510454318331,421.255227159166
"32","42_2_V2.1","Ce","LE",4,73.725,6.52143900275596,3.26071950137798
"33","42_2_V2.1","tau_Fe","LE",4,-0.75035038825,0.0194795472907621,0.00973977364538103
"34","42_2_V2.1","tau_Al","LE",4,-0.630695915,0.0218523698163244,0.0109261849081622
"35","42_2_V2.1","tau_Si","LE",4,-0.44071814675,0.0749724294107252,0.0374862147053626
"36","42_2_V2.1","tau_Mn","LE",4,-0.4699651295,0.193001364310575,0.0965006821552874
"37","42_2_V2.1","tau_Ca","LE",4,-0.766953189,0.0405362989777503,0.0202681494888751
"38","42_2_V2.1","tau_P","LE",4,-0.774417366,0.0542615741826394,0.0271307870913197
"39","42_2_V2.1","tau_K","LE",4,-0.5992506615,0.0352428688234696,0.0176214344117348
"40","42_2_V2.1","tau_Ce","LE",4,-0.41455700025,0.0549586154295634,0.0274793077147817
"41","42_3_PFM","Ti","LBhs",3,3378.329972,198.540448974911,114.627381660694
"42","42_3_PFM","Zr","LBhs",3,263.666666666667,30.6648550189518,17.7043622998527
"43","42_3_PFM","Y","LBhs",3,23.6666666666667,3.21455025366432,1.85592145427667
"44","42_3_PFM","Ratio","LBhs",3,12.8739645666667,0.798293599475978,0.460895024549811
"45","42_3_PFM","Fe","LBhs",3,30378.60939,1440.78209731541,831.835931728647
"46","42_3_PFM","Al","LBhs",3,51585.32379,4532.01300093745,2616.55892606212
"47","42_3_PFM","Si","LBhs",3,302369.2284,6354.44638374163,3668.74133020428
"48","42_3_PFM","Mn","LBhs",3,1388.86824366667,351.961455143769,203.205040871628
"49","42_3_PFM","Ca","LBhs",3,5503.15816066667,123.788954725264,71.4695863333336
"50","42_3_PFM","P","LBhs",3,2429.45313566667,223.957818118706,129.302106577956
"51","42_3_PFM","K","LBhs",3,16132.58594,715.7287955296,413.226212765781
"52","42_3_PFM","Ce","LBhs",3,51.6,0.800000000000001,0.461880215351701
"53","42_3_PFM","tau_Fe","LBhs",3,0.14353463,0.118417945311241,0.0683686326023275
"54","42_3_PFM","tau_Al","LBhs",3,-0.379085453,0.0339262663211166,0.0195873389930956
"55","42_3_PFM","tau_Si","LBhs",3,-0.367134525666667,0.0432515260529515,0.0249712802095337
"56","42_3_PFM","tau_Mn","LBhs",3,0.771528598666667,0.348385226949922,0.201140304561226
"57","42_3_PFM","tau_Ca","LBhs",3,-0.547259741,0.0353848118156171,0.0204294306269708
"58","42_3_PFM","tau_P","LBhs",3,1.78828132833333,0.413512751050761,0.2387416981325
"59","42_3_PFM","tau_K","LBhs",3,-0.500084766333333,0.0451285208219126,0.0260549636446608
"60","42_3_PFM","tau_Ce","LBhs",3,-0.406641914,0.0329060091969943,0.0189982932678409
"61","42_3_V3.1","Ti","LBhs",6,3173.552431,519.698055125338,212.165842562314
"62","42_3_V3.1","Ti","DC",1,2780.978901,NA,NA
"63","42_3_V3.1","Zr","LBhs",6,231.833333333333,44.1017762302911,18.0044747524362
"64","42_3_V3.1","Zr","DC",1,178,NA,NA
"65","42_3_V3.1","Y","LBhs",6,28,3.74165738677394,1.52752523165195
"66","42_3_V3.1","Y","DC",1,27,NA,NA
"67","42_3_V3.1","Ratio","LBhs",6,13.9142635483333,2.312617772797,0.944122252240721
"68","42_3_V3.1","Ratio","DC",1,15.6234769719101,NA,NA
"69","42_3_V3.1","Fe","LBhs",6,26788.1981466667,4938.00098580272,2015.93046076283
"70","42_3_V3.1","Fe","DC",1,21752.29667,NA,NA
"71","42_3_V3.1","Al","LBhs",6,54478.6182833333,4826.17332702519,1970.27701024033
"72","42_3_V3.1","Al","DC",1,68698.1022,NA,NA
"73","42_3_V3.1","Si","LBhs",6,307378.591866667,16625.5724645456,6787.36153663381
"74","42_3_V3.1","Si","DC",1,332487.734,NA,NA
"75","42_3_V3.1","Mn","LBhs",6,1427.59133633333,352.449636188648,143.886961448626
"76","42_3_V3.1","Mn","DC",1,534.3786737,NA,NA
"77","42_3_V3.1","Ca","LBhs",6,6420.3511875,1535.1272341319,626.713068978867
"78","42_3_V3.1","Ca","DC",1,10791.90756,NA,NA
"79","42_3_V3.1","P","LBhs",6,2225.786406,452.709330038692,184.817810065337
"80","42_3_V3.1","P","DC",1,741.9288019,NA,NA
"81","42_3_V3.1","K","LBhs",6,17488.4979666667,734.421035503667,299.826132225072
"82","42_3_V3.1","K","DC",1,25568.62678,NA,NA
"83","42_3_V3.1","Ce","LBhs",6,56.4833333333333,4.42918352144802,1.80820660078187
"84","42_3_V3.1","Ce","DC",1,65.7,NA,NA
"85","42_3_V3.1","tau_Fe","LBhs",6,0.102103395666667,0.300385691389516,0.122631944989575
"86","42_3_V3.1","tau_Fe","DC",1,-0.00929251218653204,NA,NA
"87","42_3_V3.1","tau_Al","LBhs",6,-0.27987081,0.162230090794982,0.0662301572288488
"88","42_3_V3.1","tau_Al","DC",1,0.00502912181003934,NA,NA
"89","42_3_V3.1","tau_Si","LBhs",6,-0.304244030166667,0.100742196017583,0.0411278293017536
"90","42_3_V3.1","tau_Si","DC",1,-0.156755047703857,NA,NA
