"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce"
"1","42_3_V3.1",108,123,115.5,"42_3_V3.1_D.2",2780.978901,178,27,15.6234769719101,21752.29667,68698.1022,332487.734,534.3786737,10791.90756,741.9288019,25568.62678,65.7,-0.00929251218653204,0.00502912181003934,-0.156755047703857,-0.165817988420608,0.0752743526251825,0.0284790639544807,-0.0405015740441551,-0.0841368544099369
"2","42_4_V4.1",118,126.5,122.25,"42_4_V4.1_D.4",2367.428159,233,28,10.1606358755365,16646.45211,62346.96795,356327.0063,480.1663445,9433.985418,698.2859312,23991.34136,62.3,-0.109399574425879,0.0714456083532891,0.0615678227520398,-0.119510250870945,0.104173083508685,0.137070524441581,0.0575776831457402,0.020173752001585
"3","42_4_V4.1",180,184,182,"42_4_V4.1_D.9",1881.955549,161,24,11.6891649006211,17066.11057,59806.51424,364881.0982,565.3571476,8076.063275,611.0001898,25236.56669,48.8,0.148585198340215,0.292917249560865,0.367470042648019,0.304136116730884,0.189074637863556,0.251592356839672,0.39944381244074,0.00524834862442658
"4","52_3_X3.1",105,120,112.5,"52_3_X3.1_D.1",2870.881236,195,31,14.7224678769231,24130.36125,67427.87535,346604.3227,689.2710429,9148.107072,611.0001898,27644.00233,72,0.0646003840221137,-0.0444446490764152,-0.148480566486905,0.0422795180993474,-0.117052712417053,-0.179540709833665,0.00489399450895633,-0.0277450176961922
"5","52_3_X3.1",160,180,170,"52_3_X3.1_D.2",4003.650659,186,46,21.5250035430108,35880.79804,78859.91701,318698.3509,844.1634121,8933.698313,698.2859312,30300.48303,89.1,0.13512565571777,-0.198632472694458,-0.43856503464669,-0.0846656812269462,-0.381707652897766,-0.32763045340118,-0.210180353242342,-0.137251056970128
"6","52_3_X3.1",280,300,290,"52_3_X3.1_D.3",2151.662555,109,23,19.740023440367,19584.06131,55995.83369,365675.7406,619.5694768,8004.593688,480.0715777,23576.26625,42.3,0.15283358386413,0.0587980999900786,0.198664942437601,0.250043852499007,0.030822512158095,-0.139872662280364,0.143498033516421,-0.237869902018249
"7","52_4_X4.1",109,111,110,"52_4_X4.1_D.3",1828.014148,142,28,12.8733390704225,16646.45211,52026.37478,372734.0349,704.7602799,8290.472034,523.7144484,19591.54519,55,0.153400551209277,0.157912154617167,0.438120622142717,0.673675517561742,0.256661964451573,0.104449648793923,0.118468337504587,0.166396061537707
"8","52_4_X4.1",134,144,139,"52_4_X4.1_D.6",1348.535027,77,20,17.5134419090909,12869.526,49009.58601,371565.4432,480.1663445,7146.95865,523.7144484,19010.44004,49.1,0.208755162259984,0.478598982211959,0.943340497212942,0.545748671012436,0.46851302382491,0.497142857490585,0.471175537882237,0.411504179581283
"9","52_4_X4.1",155,160,157.5,"52_4_X4.1_D.8",1408.469917,111,21,12.6889181711712,13568.95676,51655.89195,378109.5571,433.6986338,6932.549891,480.0715777,20587.72546,52.5,0.220216531743683,0.492120474766007,0.893415356884272,0.336749022552739,0.36384241486438,0.313981763306045,0.525440769791374,0.445022587195576
"10","52_4_X4.1",160,172,166,"52_4_X4.1_D.9",2517.265384,251,31,10.028945752988,16996.16749,59594.80977,363992.9684,487.910963,10720.43798,698.2859312,21417.87568,70,-0.144815107492951,-0.0368120639152346,0.0198582333921882,-0.158564231524926,0.180055108856098,0.0693877552371318,-0.112063423040323,0.0780327235985905
"11","52_4_X4.1",262,291,276.5,"52_4_X4.1_D.16",2882.868214,262,33,11.0033137938931,19164.40285,63246.71197,356467.2373,534.3786737,10648.96839,785.5716726,23161.19114,75.1,-0.158006917844902,-0.10742490838079,-0.127891244662122,-0.195300512687249,0.0235322062015217,0.0504900504700574,-0.161562571011916,0.00989926233454375
"12","86_4_W4.1",100,110,105,"86_4_W4.1_D.2",2894.855192,258,34,11.2203689612403,20423.37822,58800.91799,349315.4556,619.5694768,9076.637486,698.2859312,21583.90572,82.8,-0.106409058519685,-0.173602751657271,-0.148927077256102,-0.0708783786619004,-0.131205804392033,-0.0700976042701148,-0.221895820915065,0.108833658405336
"13","86_4_W4.1",125,135,130,"86_4_W4.1_D.4",2385.408626,203,29,11.750781408867,17136.05364,59700.66201,355392.1329,495.6555814,8719.289553,654.6430605,22995.16109,60.9,-0.0901159561175682,0.0182348612015792,0.0508018783557544,-0.0979583053413519,0.0128312184970538,0.0579684135367728,0.0060237360947466,-0.0102684493258155
"14","42_4_d1_2",NA,NA,NA,"42_4_d1_2",2601.17423,223,33,11.6644584304933,20633.20745,64569.86494,350530.7911,596.3356214,9005.167899,741.9288019,27727.01735,67.6,0.00469750435190797,0.00993177287524838,-0.0495428410452475,-0.00475339214941606,-0.0407293957797261,0.0995720870945429,0.112418667238329,0.00748864680645456
"15","52_4_d2_3",NA,NA,NA,"52_4_d2_3",3140.588241,228,36,13.7745098289474,20143.60592,65310.8306,351839.6139,549.8679107,11220.72508,785.5716726,24323.40145,72.3,-0.187610619264833,-0.153930952794189,-0.209849987823096,-0.239924433035036,-0.0100148366669726,-0.0357142855953959,-0.191745997116037,-0.10753703149685
"16","86_3_d2_2",NA,NA,NA,"86_3_d2_2",2978.764038,212,29,14.0507737641509,23500.87357,67163.24476,342724.598,588.591003,8361.941621,654.6430605,26979.88215,67.4,-0.000722921577394842,-0.0826666819039178,-0.188506604458041,-0.142198277664583,-0.222160858210338,-0.152773785539386,-0.0547678105726644,-0.122824077697702
