Pedon,Horizon,Si,Al,Fe,Mn,Mg,Ca,Na,K,Ti,P,tau_Al,tau_Fe,tau_Mn,tau_Mg,tau_Ca,tau_Na,tau_K,tau_P
index,index,354834.1303,61513,19759,576,3905,9032,17309,23981,2503,649,,,,,,,,
HB08NH010020,Oa,,35731,3667,87,405,2291,4004,6209,1101,841,0.320351163,-0.578146543,-0.656962712,-0.764233738,-0.423424035,-0.474169779,-0.411469605,1.944690094
HB08NH020024,E,,48203,6410,261,1050,6520,13837,23881,2506,170,-0.217427465,-0.6760224,-0.547864261,-0.731451837,-0.279082956,-0.20163835,-0.005497227,-0.738483694
HB08NH024028,Bhs,,52386,30723,363,2085,7233,12821,21205,3100,236,-0.312480303,0.25527809,-0.491659949,-0.568919558,-0.35348957,-0.402003008,-0.286143136,-0.706518164
HB08NH028037,Bs,,57675,26404,367,3060,8334,14774,23431,2771,238,-0.153196435,0.206899813,-0.425038275,-0.292219074,-0.166634083,-0.229095889,-0.117552545,-0.668890722
HB08NH037056,Bw,,59855,21067,347,3511,8685,15654,24633,2724,308,-0.106025909,-0.020434201,-0.446991549,-0.173890378,-0.116550999,-0.169084196,-0.056276521,-0.564112383
HB08NH056066,Cd,,61882,19863,544,4152,9350,17363,26590,2822,720,-0.107847838,-0.108490748,-0.163142935,-0.056994361,-0.081935137,-0.110375881,-0.016677708,-0.016427437
HB08NH070080,Cd,,61151,18530,473,4025,9641,17674,26477,2483,678,0.001978596,-0.054771688,-0.173022264,0.038970267,0.075880727,0.029193238,0.112824331,0.052649753
HB08NH109110,Cd,,62280,19562,469,4257,9026,17347,27639,2569,696,-0.013683951,-0.035533446,-0.207465576,0.062070877,-0.026468542,-0.02366453,0.122775115,0.044422102
HB08NH123125,Cd,,64914,20016,500,4631,8864,17320,28249,2551,638,0.035284025,-0.006186584,-0.149118772,0.163531852,-0.037195629,-0.018305807,0.15565227,-0.035857697
HB17NH008010,Oa,,22006,4056,66,489,1474,1787,3682,827,1182,0.082597947,-0.378801414,-0.653544211,-0.621019117,-0.506132169,-0.687566326,-0.535364026,4.509889453
HB17NH010014,E,,43788,9261,354,876,5347,10970,18232,3687,174,-0.516814857,-0.68185671,-0.583188665,-0.84771928,-0.598157552,-0.569798141,-0.483945308,-0.818068865
HB17NH014019,Bhs,,52590,32113,434,2893,7287,12380,18426,3692,260,-0.420473795,0.101684422,-0.489686058,-0.497772261,-0.453102622,-0.515160778,-0.479160479,-0.728517041
HB17NH019047,Bw,,55770,21306,442,3672,8864,14378,20171,2979,310,-0.23833896,-0.094122566,-0.355888337,-0.209965379,-0.175524018,-0.30214247,-0.293370958,-0.598835856
HB17NH047066,BC,,60450,20404,440,4392,9251,15313,21531,3115,535,-0.210467786,-0.170349297,-0.386797351,-0.096312584,-0.177095581,-0.289210466,-0.278658852,-0.337895332
HB17NH066076,Cd,,59045,16776,504,4076,9591,16156,21661,2641,524,-0.090408641,-0.19544074,-0.171540024,-0.010809975,0.006269372,-0.115486967,-0.144057368,-0.235119121
HB17NH100110,Cd,,67891,23263,550,6132,9631,16347,25124,3003,593,-0.080210444,-0.018820626,-0.204909153,0.308762276,-0.111341672,-0.212915204,-0.126891916,-0.238744787
HB17NH118128,Cd,,66568,22084,529,5879,9684,16317,24396,3189,596,-0.150736244,-0.122875502,-0.279870587,0.181579358,-0.158567997,-0.260182522,-0.201640197,-0.27951879
HB20NH006008,A,,30138,9863,297,4506,5445,6964,12949,2142,750,-0.427564496,-0.416786473,-0.398069459,0.348297332,-0.29563595,-0.529913165,-0.369113374,0.349810231
HB20NH008012,E,,44333,6961,295,1544,5520,11450,20850,2992,295,-0.397166842,-0.705321761,-0.571974322,-0.669250146,-0.488793635,-0.446671945,-0.272757876,-0.61990571
HB20NH012017,Bhs,,46501,22319,382,2029,5842,11524,20121,2680,413,-0.294074128,0.054819038,-0.381217582,-0.514754846,-0.395988061,-0.378262234,-0.216481377,-0.405918298
HB20NH017028,Bs1,,53823,20545,387,2427,6005,12375,20603,2661,416,-0.177085667,-0.022089087,-0.368642292,-0.415426861,-0.374702199,-0.327582317,-0.191983658,-0.397330276
HB20NH028045,Bs2,,57312,20600,471,7154,8018,14081,21444,2779,524,-0.160948501,-0.061105716,-0.264230541,0.649963524,-0.200540865,-0.267371609,-0.194710923,-0.273101691
HB20NH045089,Bw1,,56322,18298,509,3877,8869,15173,22309,2535,616,-0.096076442,-0.085752711,-0.128335788,-0.01976142,-0.030572231,-0.13456932,-0.081589804,-0.063228505
HB20NH089110,Bw2,,52047,15315,514,2978,8235,15617,22336,2240,548,-0.054679048,-0.13402171,-0.003850555,-0.147899874,0.018671955,0.008064649,0.040619451,-0.056887592
HB20NH110125,Cd1,,50251,13284,566,2564,8394,15747,21669,1701,596,,,,,,,,
HB20NH125132,Cd2,,51216,13866,491,5323,9676,15895,20895,2185,753,,,,,,,,
HB20NH140153,Cr,,57763,67185,969,75751,19276,4147,16226,4489,438,,,,,,,,
