Pedon,Horizon,Al,Ca,Fe,K,Mg,Mn,Na,Nb,P,Rb,Sr,Ti
HB08NH010020,Oa,35731,2291,3667,6209,405,87,4004,5,841,19,32,1101
HB08NH020024,E,48203,6520,6410,23881,1050,261,13837,7,170,107,81,2506
HB08NH024028,Bhs,52386,7233,30723,21205,2085,363,12821,8,236,97,80,3100
HB08NH028037,Bs,57675,8334,26404,23431,3060,367,14774,10,238,108,90,2771
HB08NH037056,Bw,59855,8685,21067,24633,3511,347,15654,8,308,122,91,2724
HB08NH056066,Cd,61882,9350,19863,26590,4152,544,17363,12,720,124,92,2822
HB08NH070080,Cd,61151,9641,18530,26477,4025,473,17674,12,678,129,94,2483
HB08NH109110,Cd,62280,9026,19562,27639,4257,469,17347,10,696,137,91,2569
HB08NH123125,Cd,64914,8864,20016,28249,4631,500,17320,11,638,148,96,2551
HB17NH008010,Oa,22006,1474,4056,3682,489,66,1787,2,1182,17,24,827
HB17NH010014,E,43788,5347,9261,18232,876,354,10970,10,174,73,73,3687
HB17NH014019,Bhs,52590,7287,32113,18426,2893,434,12380,13,260,83,83,3692
HB17NH019047,Bw,55770,8864,21306,20171,3672,442,14378,11,310,84,93,2979
HB17NH047066,BC,60450,9251,20404,21531,4392,440,15313,12,535,94,97,3115
HB17NH066076,Cd,59045,9591,16776,21661,4076,504,16156,11,524,97,105,2641
HB17NH100110,Cd,67891,9631,23263,25124,6132,550,16347,11,593,133,106,3003
HB17NH118128,Cd,66568,9684,22084,24396,5879,529,16317,12,596,127,106,3189
HB20NH006008,A,30138,5445,9863,12949,4506,297,6964,13,750,48,64,2142
HB20NH008012,E,44333,5520,6961,20850,1544,295,11450,15,295,84,79,2992
HB20NH012017,Bhs,46501,5842,22319,20121,2029,382,11524,14,413,89,78,2680
HB20NH017028,Bs1,53823,6005,20545,20603,2427,387,12375,12,416,94,79,2661
HB20NH028045,Bs2,57312,8018,20600,21444,7154,471,14081,14,524,99,90,2779
HB20NH045089,Bw1,56322,8869,18298,22309,3877,509,15173,14,616,103,96,2535
HB20NH089110,Bw2,52047,8235,15315,22336,2978,514,15617,10,548,100,89,2240
HB20NH110125,Cd1,50251,8394,13284,21669,2564,566,15747,13,596,95,92,1701
HB20NH125132,Cd2,51216,9676,13866,20895,5323,491,15895,15,753,87,93,2185
HB20NH140153,Cr,57763,19276,67185,16226,75751,969,4147,19,438,91,96,4489
