pedon,horizon,subdivision,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental
42_1_PFM,Oi,,0,6,6,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,?,
42_1_PFM,Oe,,6,11,5,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,?,
42_1_PFM,Oa,,11,14,3,5YR2.5/1,5YR,2.5,1,,,,,,1mgr,,as,0,f,Y,
42_1_PFM,E,,14,38,24,7.5YR5/1,7.5YR,5,1,7.5YR6/1,,,,sl,2msbk,fr,,10,0,Y,
42_1_PFM,R,,38,38,0,,,,,,,,,,,,,,,N,
42_1_V1.1,O,,0,6,6,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,N,
42_1_V1.1,R,,6,6,0,,,,,,,,,,,,,,,Y,
42_2_PFM,Oi,,0,3,3,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,?,
42_2_PFM,Oe,,3,6,3,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,?,
42_2_PFM,Oa,,6,8,2,7.5YR3/1,7.5YR,3,1,0,,,,,2mgr,,cs,0,m,Y,
42_2_PFM,E1,,8,32,24,5YR5/1,5YR,5,1,5YR4/2,,,,sl,2msbk,fr,cs,2,c,Y,Y
42_2_PFM,E2,,32,47,15,7.5YR4/2,7.5YR,4,2,7.5YR3/2,,,,ls,2msbk,fr,,15,f,Y,Y
42_2_PFM,R,,47,47,0,,,,,,,,,,,,,,,N,
42_2_V2.1,Oi,,0,3,3,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,Y,
42_2_V2.1,Oe,,3,6,3,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,Y,
42_2_V2.1,Oa,,6,8,2,5YR2.5/1,5YR,2.5,1,,,,,,,,as,,,Y,Y
42_2_V2.1,E,1,8,14,6,7.5YR6/1,7.5YR,6,1,0,,,,sl,2msbk,fr,as,10,f,Y,Y
42_2_V2.1,E,2,14,20,6,7.5YR6/1,7.5YR,6,1,0,,,,sl,2msbk,fr,as,10,f,Y,Y
42_2_V2.1,E,3,20,28,8,7.5YR6/1,7.5YR,6,1,0,,,,sl,2msbk,fr,as,10,f,Y,Y
42_2_V2.1,E,4,28,32,4,7.5YR6/1,7.5YR,6,1,0,,,,sl,2msbk,fr,as,10,f,Y,Y
42_2_V2.1,R,,32,32,0,,,,,,,,,,,,,,,Y,
42_3_PFM,Oi,,0,3.5,3.5,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,?,
